Time (s),Temperature_tr
0.0,3000.0
1e-08,9999.02
2e-08,9998.03
3e-08,9997.04
4e-08,9996.06
5e-08,9995.07
6e-08,9994.08
7e-08,9993.1
8e-08,9992.11
9e-08,9991.12
1e-07,9990.13
1.1e-07,9989.14
1.2e-07,9988.15
1.3e-07,9987.15
1.4e-07,9986.16
1.5e-07,9985.17
1.6e-07,9984.18
1.7e-07,9983.18
1.8e-07,9982.19
1.9e-07,9981.19
2e-07,9980.2
2.1e-07,9979.2
2.2e-07,9978.2
2.3e-07,9977.2
2.4e-07,9976.21
2.5e-07,9975.21
2.6e-07,9974.21
2.7e-07,9973.21
2.8e-07,9972.21
2.9e-07,9971.21
3e-07,9970.2
3.1e-07,9969.2
3.2e-07,9968.2
3.3e-07,9967.2
3.4e-07,9966.19
3.5e-07,9965.19
3.6e-07,9964.18
3.7e-07,9963.18
3.8e-07,9962.17
3.9e-07,9961.16
4e-07,9960.15
4.1e-07,9959.14
4.2e-07,9958.14
4.3e-07,9957.13
4.4e-07,9956.12
4.5e-07,9955.1
4.6e-07,9954.09
4.7e-07,9953.08
4.8e-07,9952.07
4.9e-07,9951.05
5e-07,9950.04
5.1e-07,9949.03
5.2e-07,9948.01
5.3e-07,9947.0
5.4e-07,9945.98
5.5e-07,9944.96
5.6e-07,9943.94
5.7e-07,9942.93
5.8e-07,9941.91
5.9e-07,9940.89
6e-07,9939.87
6.1e-07,9938.85
6.2e-07,9937.83
6.3e-07,9936.8
6.4e-07,9935.78
6.5e-07,9934.76
6.6e-07,9933.73
6.7e-07,9932.71
6.8e-07,9931.68
6.9e-07,9930.66
7e-07,9929.63
7.1e-07,9928.6
7.2e-07,9927.58
7.3e-07,9926.55
7.4e-07,9925.52
7.5e-07,9924.49
7.6e-07,9923.46
7.7e-07,9922.43
7.8e-07,9921.4
7.9e-07,9920.37
8e-07,9919.33
8.1e-07,9918.3
8.2e-07,9917.27
8.3e-07,9916.23
8.4e-07,9915.2
8.5e-07,9914.16
8.6e-07,9913.12
8.7e-07,9912.09
8.8e-07,9911.05
8.9e-07,9910.01
9e-07,9908.97
9.1e-07,9907.93
9.2e-07,9906.89
9.3e-07,9905.85
