Time (s),Temperature_tr
0.0,10000.0
1e-09,1041.75
2e-09,1080.61
3e-09,1117.66
4e-09,1152.64
5e-09,1186.16
6e-09,1218.41
7e-09,1249.54
8e-09,1279.68
9e-09,1308.92
1e-08,1337.57
2e-08,1590.03
3e-08,1804.47
4e-08,1994.94
5e-08,2168.19
6e-08,2327.93
7e-08,2476.58
8e-08,2615.88
9e-08,2746.95
1e-07,2870.82
1.1e-07,2988.34
1.2e-07,3100.05
1.3e-07,3206.49
1.4e-07,3308.11
1.5e-07,3405.32
1.6e-07,3498.43
1.7e-07,3587.77
1.8e-07,3673.58
1.9e-07,3756.1
2e-07,3835.56
2.1e-07,3912.13
2.2e-07,3986.0
2.3e-07,4057.31
2.4e-07,4126.23
2.5e-07,4192.87
2.6e-07,4257.36
2.7e-07,4319.81
2.8e-07,4380.34
2.9e-07,4439.02
3e-07,4495.96
3.1e-07,4551.23
3.2e-07,4604.91
3.3e-07,4657.08
3.4e-07,4707.8
3.5e-07,4757.13
3.6e-07,4805.14
3.7e-07,4851.88
3.8e-07,4897.41
3.9e-07,4941.76
4e-07,4985.0
4.1e-07,5027.15
4.2e-07,5068.27
4.3e-07,5108.4
4.4e-07,5147.56
4.5e-07,5185.81
4.6e-07,5223.16
4.7e-07,5259.65
4.8e-07,5295.31
4.9e-07,5330.16
5e-07,5364.25
5.1e-07,5397.58
5.2e-07,5430.2
5.3e-07,5462.11
5.4e-07,5493.35
5.5e-07,5523.93
5.6e-07,5553.87
5.7e-07,5583.21
5.8e-07,5611.94
5.9e-07,5640.1
6e-07,5667.69
6.1e-07,5694.74
6.2e-07,5721.26
6.3e-07,5747.27
6.4e-07,5772.78
6.5e-07,5797.8
6.6e-07,5822.36
6.7e-07,5846.45
6.8e-07,5870.1
6.9e-07,5893.31
7e-07,5916.1
7.1e-07,5938.48
7.2e-07,5960.46
7.3e-07,5982.04
7.4e-07,6003.25
7.5e-07,6024.09
7.6e-07,6044.56
7.7e-07,6064.68
7.8e-07,6084.46
7.9e-07,6103.91
8e-07,6123.02
8.1e-07,6141.82
8.2e-07,6160.3
8.3e-07,6178.48
8.4e-07,6196.36
8.5e-07,6213.95
8.6e-07,6231.25
8.7e-07,6248.28
8.8e-07,6265.03
8.9e-07,6281.52
9e-07,6297.75
9.1e-07,6313.73
9.2e-07,6329.46
9.3e-07,6344.94
9.4e-07,6360.19
9.5e-07,6375.2
9.6e-07,6389.98
9.7e-07,6404.55
9.8e-07,6418.89
9.9e-07,6433.02
1e-06,6446.94
1.01e-06,6460.65
1.02e-06,6474.16
1.03e-06,6487.47
1.04e-06,6500.6
1.05e-06,6513.53
1.06e-06,6526.27
1.07e-06,6538.83
1.08e-06,6551.22
1.09e-06,6563.42
1.1e-06,6575.46
1.11e-06,6587.33
1.12e-06,6599.03
1.13e-06,6610.56
1.14e-06,6621.94
1.15e-06,6633.16
1.16e-06,6644.23
1.17e-06,6655.15
1.18e-06,6665.91
1.19e-06,6676.54
1.2e-06,6687.02
1.21e-06,6697.35
1.22e-06,6707.55
1.23e-06,6717.62
1.24e-06,6727.55
1.25e-06,6737.35
1.26e-06,6747.02
1.27e-06,6756.57
1.28e-06,6765.99
1.29e-06,6775.28
1.3e-06,6784.46
1.31e-06,6793.52
1.32e-06,6802.46
1.33e-06,6811.29
1.34e-06,6820.0
1.35e-06,6828.61
1.36e-06,6837.11
1.37e-06,6845.49
1.38e-06,6853.78
1.39e-06,6861.96
1.4e-06,6870.03
1.41e-06,6878.01
1.42e-06,6885.89
1.43e-06,6893.67
1.44e-06,6901.35
1.45e-06,6908.94
1.46e-06,6916.44
1.47e-06,6923.85
1.48e-06,6931.16
1.49e-06,6938.39
1.5e-06,6945.53
1.51e-06,6952.59
1.52e-06,6959.55
1.53e-06,6966.44
1.54e-06,6973.24
1.55e-06,6979.97
1.56e-06,6986.61
1.57e-06,6993.17
1.58e-06,6999.66
1.59e-06,7006.07
1.6e-06,7012.4
1.61e-06,7018.67
1.62e-06,7024.85
1.63e-06,7030.97
1.64e-06,7037.01
1.65e-06,7042.99
1.66e-06,7048.89
1.67e-06,7054.73
1.68e-06,7060.5
1.69e-06,7066.2
1.7e-06,7071.84
1.71e-06,7077.42
1.72e-06,7082.93
1.73e-06,7088.38
1.74e-06,7093.76
1.75e-06,7099.09
1.76e-06,7104.36
1.77e-06,7109.56
1.78e-06,7114.71
1.79e-06,7119.8
1.8e-06,7124.84
1.81e-06,7129.81
1.82e-06,7134.74
1.83e-06,7139.6
1.84e-06,7144.42
1.85e-06,7149.18
1.86e-06,7153.88
1.87e-06,7158.54
1.88e-06,7163.15
1.89e-06,7167.7
1.9e-06,7172.21
1.91e-06,7176.66
1.92e-06,7181.07
1.93e-06,7185.43
1.94e-06,7189.74
1.95e-06,7194.0
1.96e-06,7198.22
1.97e-06,7202.4
1.98e-06,7206.52
1.99e-06,7210.61
2e-06,7214.65
2.01e-06,7218.65
2.02e-06,7222.6
2.03e-06,7226.51
2.04e-06,7230.38
2.05e-06,7234.21
2.06e-06,7238.0
2.07e-06,7241.75
2.08e-06,7245.46
2.09e-06,7249.13
2.1e-06,7252.76
2.11e-06,7256.35
