Time (s),Temperature_tr
0.0,30000.0
1e-08,1799.97
2e-08,2391.75
3e-08,2921.14
4e-08,3414.94
5e-08,3883.23
6e-08,4331.11
7e-08,4761.63
8e-08,5176.85
9e-08,5578.13
1e-07,5966.64
1.1e-07,6343.28
1.2e-07,6708.78
1.3e-07,7063.78
1.4e-07,7408.81
1.5e-07,7744.34
1.6e-07,8070.8
1.7e-07,8388.55
1.8e-07,8697.93
1.9e-07,8999.24
2e-07,9292.77
2.1e-07,9578.75
2.2e-07,9857.43
2.3e-07,10129.0
2.4e-07,10393.7
2.5e-07,10651.7
2.6e-07,10903.1
2.7e-07,11148.2
2.8e-07,11387.0
2.9e-07,11619.7
3e-07,11846.5
3.1e-07,12067.4
3.2e-07,12282.6
3.3e-07,12492.3
3.4e-07,12696.4
3.5e-07,12895.2
3.6e-07,13088.8
3.7e-07,13277.1
3.8e-07,13460.4
3.9e-07,13638.8
4e-07,13812.2
4.1e-07,13980.9
4.2e-07,14144.9
4.3e-07,14304.3
4.4e-07,14459.1
4.5e-07,14609.6
4.6e-07,14755.7
4.7e-07,14897.5
4.8e-07,15035.2
4.9e-07,15168.8
5e-07,15298.3
5.1e-07,15424.0
5.2e-07,15545.8
5.3e-07,15663.8
5.4e-07,15778.1
5.5e-07,15888.8
5.6e-07,15996.0
5.7e-07,16099.8
5.8e-07,16200.1
5.9e-07,16297.2
6e-07,16391.0
6.1e-07,16481.6
6.2e-07,16569.2
6.3e-07,16653.8
6.4e-07,16735.4
6.5e-07,16814.1
6.6e-07,16890.0
6.7e-07,16963.2
6.8e-07,17033.8
6.9e-07,17101.7
7e-07,17167.1
7.1e-07,17230.0
7.2e-07,17290.5
7.3e-07,17348.7
7.4e-07,17404.5
7.5e-07,17458.2
7.6e-07,17509.7
7.7e-07,17559.0
7.8e-07,17606.3
7.9e-07,17651.6
8e-07,17695.0
8.1e-07,17736.5
8.2e-07,17776.1
8.3e-07,17814.0
8.4e-07,17850.1
8.5e-07,17884.5
8.6e-07,17917.3
8.7e-07,17948.5
8.8e-07,17978.1
8.9e-07,18006.3
9e-07,18033.0
9.1e-07,18058.2
9.2e-07,18082.1
9.3e-07,18104.7
9.4e-07,18125.9
9.5e-07,18146.0
9.6e-07,18164.8
9.7e-07,18182.4
9.8e-07,18198.8
9.9e-07,18214.2
1e-06,18228.5
1.01e-06,18241.8
1.02e-06,18254.0
1.03e-06,18265.3
1.04e-06,18275.6
1.05e-06,18285.0
1.06e-06,18293.5
1.07e-06,18301.2
1.08e-06,18308.0
1.09e-06,18314.1
1.1e-06,18319.3
1.11e-06,18323.8
1.12e-06,18327.6
1.13e-06,18330.7
1.14e-06,18333.1
1.15e-06,18334.8
1.16e-06,18335.9
1.17e-06,18336.4
1.18e-06,18336.3
1.19e-06,18335.6
1.2e-06,18334.4
1.21e-06,18332.6
1.22e-06,18330.4
1.23e-06,18327.6
1.24e-06,18324.3
1.25e-06,18320.6
1.26e-06,18316.5
1.27e-06,18311.9
1.28e-06,18306.9
1.29e-06,18301.5
1.3e-06,18295.7
1.31e-06,18289.5
1.32e-06,18283.0
1.33e-06,18276.2
1.34e-06,18269.0
1.35e-06,18261.5
1.36e-06,18253.7
1.37e-06,18245.6
1.38e-06,18237.2
1.39e-06,18228.6
1.4e-06,18219.7
1.41e-06,18210.5
1.42e-06,18201.1
1.43e-06,18191.5
1.44e-06,18181.6
1.45e-06,18171.6
1.46e-06,18161.3
1.47e-06,18150.9
1.48e-06,18140.2
1.49e-06,18129.4
1.5e-06,18118.4
1.51e-06,18107.3
1.52e-06,18096.0
1.53e-06,18084.5
1.54e-06,18072.9
1.55e-06,18061.2
1.56e-06,18049.4
1.57e-06,18037.4
1.58e-06,18025.3
1.59e-06,18013.1
1.6e-06,18000.8
1.61e-06,17988.4
1.62e-06,17976.0
1.63e-06,17963.4
1.64e-06,17950.7
1.65e-06,17938.0
1.66e-06,17925.2
1.67e-06,17912.3
1.68e-06,17899.4
1.69e-06,17886.4
1.7e-06,17873.4
1.71e-06,17860.3
1.72e-06,17847.1
1.73e-06,17833.9
1.74e-06,17820.7
1.75e-06,17807.4
1.76e-06,17794.1
1.77e-06,17780.8
1.78e-06,17767.4
1.79e-06,17754.0
1.8e-06,17740.6
1.81e-06,17727.2
1.82e-06,17713.8
1.83e-06,17700.3
1.84e-06,17686.8
1.85e-06,17673.4
1.86e-06,17659.9
1.87e-06,17646.4
1.88e-06,17632.9
1.89e-06,17619.4
1.9e-06,17605.9
1.91e-06,17592.4
1.92e-06,17579.0
1.93e-06,17565.5
1.94e-06,17552.0
1.95e-06,17538.6
1.96e-06,17525.1
1.97e-06,17511.7
1.98e-06,17498.3
1.99e-06,17484.9
2e-06,17471.6
2.01e-06,17458.2
2.02e-06,17444.9
2.03e-06,17431.6
2.04e-06,17418.3
2.05e-06,17405.0
2.06e-06,17391.8
2.07e-06,17378.6
2.08e-06,17365.4
2.09e-06,17352.2
2.1e-06,17339.1
2.11e-06,17326.0
