x,p,U_0,U_1,U_2
-5,100000,0,0,0
-4.94975,100000,1.01757e-14,0,0
-4.8995,100000,1.2998e-14,0,0
-4.84925,100000,1.59356e-14,0,0
-4.79899,100000,2.64464e-14,0,0
-4.74874,100000,3.62356e-14,0,0
-4.69849,100000,1.78821e-14,0,0
-4.64824,100000,-3.45426e-16,0,0
-4.59799,100000,-1.51e-14,0,0
-4.54774,100000,-2.91583e-14,0,0
-4.49749,100000,-2.84415e-14,0,0
-4.44724,100000,-2.65175e-14,0,0
-4.39698,100000,-3.85166e-15,0,0
-4.34673,100000,1.83463e-14,0,0
-4.29648,100000,3.38143e-14,0,0
-4.24623,100000,4.67695e-14,0,0
-4.19598,100000,2.87336e-14,0,0
-4.14573,100000,1.132e-14,0,0
-4.09548,100000,6.03726e-16,0,0
-4.04523,100000,-7.66995e-15,0,0
-3.99497,100000,7.32496e-15,0,0
-3.94472,100000,2.13574e-14,0,0
-3.89447,100000,2.71864e-14,0,0
-3.84422,100000,3.253e-14,0,0
-3.79397,100000,3.41388e-14,0,0
-3.74372,100000,3.47009e-14,0,0
-3.69347,100000,2.79364e-14,0,0
-3.64322,100000,2.00385e-14,0,0
-3.59296,100000,4.87808e-15,0,0
-3.54271,100000,-8.68057e-15,0,0
-3.49246,100000,-1.27946e-14,0,0
-3.44221,100000,-1.52334e-14,0,0
-3.39196,100000,-8.53959e-15,0,0
-3.34171,100000,-2.89867e-15,0,0
-3.29146,100000,-2.58576e-15,0,0
-3.24121,100000,-5.0142e-16,0,0
-3.19095,100000,9.93391e-15,0,0
-3.1407,100000,1.62414e-14,0,0
-3.09045,100000,4.3641e-15,0,0
-3.0402,100000,-5.06884e-15,0,0
-2.98995,100000,-4.41099e-15,0,0
-2.9397,100000,-5.00109e-15,0,0
-2.88945,100000,-1.04308e-14,0,0
-2.8392,100000,-1.29286e-14,0,0
-2.78894,100000,-4.72136e-15,0,0
-2.73869,100000,4.63168e-15,0,0
-2.68844,100000,1.79315e-14,0,0
-2.63819,100000,2.26834e-14,0,0
-2.58794,100000,-3.90348e-16,0,0
-2.53769,100000,-2.34996e-14,0,0
-2.48744,100000,-4.6718e-14,0,0
-2.43719,100000,-5.7876e-14,0,0
-2.38693,100000,-3.37982e-14,0,0
-2.33668,100000,-7.75437e-15,0,0
-2.28643,100000,2.37428e-14,0,0
-2.23618,100000,4.69537e-14,0,0
-2.18593,100000,4.83186e-14,0,0
-2.13568,100000,4.4494e-14,0,0
-2.08543,100000,2.76497e-14,0,0
-2.03518,100000,8.82618e-15,0,0
-1.98492,100000,-1.47273e-14,0,0
-1.93467,100000,-3.44466e-14,0,0
-1.88442,100000,-4.54289e-14,0,0
-1.83417,100000,-4.72547e-14,0,0
-1.78392,100000,-2.91689e-14,0,0
-1.73367,100000,-1.4434e-13,0,0
-1.68342,100000,-5.36274e-13,0,0
-1.63317,100000,-1.2554e-10,0,0
-1.58291,100000,-4.97909e-10,0,0
-1.53266,100000,-1.07192e-07,0,0
-1.48241,100000,-4.15742e-07,0,0
-1.43216,100000,-4.8332e-05,0,0
-1.38191,100000,-0.000182747,0,0
-1.33166,100002,-0.011575,0,0
-1.28141,100008,-0.0425528,0,0
-1.23116,100233,-0.83547,0,0
-1.1809,100824,-2.89829,0,0
-1.13065,105060,-14.6376,0,0
-1.0804,115115,-41.834,0,0
-1.03015,131482,-78.8632,0,0
-0.979899,157516,-130.953,0,0
-0.929648,178392,-170.331,0,0
-0.879397,191693,-191.035,0,0
-0.829146,199271,-202.863,0,0
-0.778894,198782,-202.178,0,0
-0.728643,189593,-186.014,0,0
-0.678392,168634,-148.906,0,0
-0.628141,148307,-105.238,0,0
-0.577889,128802,-53.0498,0,0
-0.527638,109058,-8.84903,0,0
-0.477387,89016.8,25.3897,0,0
-0.427136,80130.6,74.0032,0,0
-0.376884,84605.7,139.835,0,0
-0.326633,76743.9,196.492,0,0
-0.276382,54687.8,242.593,0,0
-0.226131,43466.1,293.811,0,0
-0.175879,44219.2,350.684,0,0
-0.125628,40301.7,399.353,0,0
-0.0753769,31424.5,439.31,0,0
-0.0251256,31452.8,468.571,0,0
0.0251256,40566.5,486.919,0,0
0.0753769,36698.8,434.916,0,0
0.125628,20106.8,313.954,0,0
0.175879,21556,312.159,0,0
0.226131,39995.5,422.588,0,0
0.276382,40714.7,448.188,0,0
0.326633,25401.5,397.038,0,0
0.376884,30222.4,373.758,0,0
0.427136,52543.2,374.701,0,0
0.477387,54823.8,498.722,0,0
0.527638,40373.8,725.497,0,0
