x,p,U_0,U_1,U_2
-5,100000,0,0,0
-4.94975,100000,0,0,0
-4.8995,100000,0,0,0
-4.84925,100000,0,0,0
-4.79899,100000,0,0,0
-4.74874,100000,0,0,0
-4.69849,100000,0,0,0
-4.64824,100000,0,0,0
-4.59799,100000,0,0,0
-4.54774,100000,0,0,0
-4.49749,100000,0,0,0
-4.44724,100000,0,0,0
-4.39698,100000,0,0,0
-4.34673,100000,0,0,0
-4.29648,100000,0,0,0
-4.24623,100000,0,0,0
-4.19598,100000,0,0,0
-4.14573,100000,0,0,0
-4.09548,100000,0,0,0
-4.04523,100000,0,0,0
-3.99497,100000,0,0,0
-3.94472,100000,0,0,0
-3.89447,100000,0,0,0
-3.84422,100000,0,0,0
-3.79397,100000,0,0,0
-3.74372,100000,0,0,0
-3.69347,100000,0,0,0
-3.64322,100000,0,0,0
-3.59296,100000,0,0,0
-3.54271,100000,0,0,0
-3.49246,100000,0,0,0
-3.44221,100000,0,0,0
-3.39196,100000,0,0,0
-3.34171,100000,0,0,0
-3.29146,100000,0,0,0
-3.24121,100000,0,0,0
-3.19095,100000,0,0,0
-3.1407,100000,0,0,0
-3.09045,100000,0,0,0
-3.0402,100000,0,0,0
-2.98995,100000,0,0,0
-2.9397,100000,0,0,0
-2.88945,100000,0,0,0
-2.8392,100000,0,0,0
-2.78894,100000,0,0,0
-2.73869,100000,0,0,0
-2.68844,100000,0,0,0
-2.63819,100000,0,0,0
-2.58794,100000,0,0,0
-2.53769,100000,0,0,0
-2.48744,100000,0,0,0
-2.43719,100000,0,0,0
-2.38693,100000,0,0,0
-2.33668,100000,0,0,0
-2.28643,100000,0,0,0
-2.23618,100000,0,0,0
-2.18593,100000,0,0,0
-2.13568,100000,0,0,0
-2.08543,100000,0,0,0
-2.03518,100000,0,0,0
-1.98492,100000,0,0,0
-1.93467,100000,0,0,0
-1.88442,100000,0,0,0
-1.83417,100000,0,0,0
-1.78392,100000,0,0,0
-1.73367,100000,0,0,0
-1.68342,100000,0,0,0
-1.63317,100000,0,0,0
-1.58291,100000,0,0,0
-1.53266,100000,0,0,0
-1.48241,100000,0,0,0
-1.43216,100000,0,0,0
-1.38191,100000,0,0,0
-1.33166,100000,0,0,0
-1.28141,100000,0,0,0
-1.23116,100000,0,0,0
-1.1809,100000,0,0,0
-1.13065,100000,0,0,0
-1.0804,100000,0,0,0
-1.03015,100000,0,0,0
-0.979899,100000,0,0,0
-0.929648,100000,0,0,0
-0.879397,100000,0,0,0
-0.829146,100000,0,0,0
-0.778894,100000,0,0,0
-0.728643,100000,0,0,0
-0.678392,100000,0,0,0
-0.628141,100000,-1.56861e-29,0,0
-0.577889,100000,-5.1746e-29,0,0
-0.527638,100000,-1.47489e-21,0,0
-0.477387,100000,-4.78926e-21,0,0
-0.427136,100000,-6.54843e-14,0,0
-0.376884,100000,-2.09406e-13,0,0
-0.326633,100000,-1.28899e-06,0,0
-0.276382,100000,-4.06101e-06,0,0
-0.226131,98785.2,-15.8236,0,0
-0.175879,96227.8,-49.1364,0,0
-0.125628,301116,-33.4621,0,0
-0.0753769,726283,34.2294,0,0
-0.0251256,713314,101.51,0,0
0.0251256,253361,168.37,0,0
0.0753769,21748.7,151.892,0,0
0.125628,13957.2,53.7256,0,0
0.175879,10132.2,4.53234,0,0
0.226131,10042.6,1.45957,0,0
0.276382,10000,3.60139e-06,0,0
0.326633,10000,1.14311e-06,0,0
0.376884,10000,2.95743e-12,0,0
0.427136,10000,9.24832e-13,0,0
0.477387,10000,1.6016e-18,0,0
0.527638,10000,4.93228e-19,0,0
0.577889,10000,9.02671e-25,0,0
0.628141,10000,2.73632e-25,0,0
0.678392,10000,5.22986e-31,0,0
0.728643,10000,1.55978e-31,0,0
0.778894,10000,3.08517e-37,0,0
0.829146,10000,9.04839e-38,0,0
0.879397,10000,1.84072e-43,0,0
0.929648,10000,5.30601e-44,0,0
0.979899,10000,1.1059e-49,0,0
1.03015,10000,3.1314e-50,0,0
1.0804,10000,6.67206e-56,0,0
1.13065,10000,1.85469e-56,0,0
1.1809,10000,4.0354e-62,0,0
1.23116,10000,1.10057e-62,0,0
1.28141,10000,2.44428e-68,0,0
1.33166,10000,6.536e-69,0,0
1.38191,10000,1.48178e-74,0,0
1.43216,10000,3.88216e-75,0,0
1.48241,10000,8.98724e-81,0,0
1.53266,10000,2.30528e-81,0,0
1.58291,10000,5.45234e-87,0,0
1.63317,10000,1.3682e-87,0,0
1.68342,10000,3.30825e-93,0,0
1.73367,10000,8.11459e-94,0,0
1.78392,10000,2.00741e-99,0,0
1.83417,10000,4.80864e-100,0,0
1.88442,10000,1.21809e-105,0,0
1.93467,10000,2.84688e-106,0,0
1.98492,10000,7.39115e-112,0,0
2.03518,10000,1.6837e-112,0,0
2.08543,10000,4.48466e-118,0,0
2.13568,10000,9.94657e-119,0,0
2.18593,10000,2.72099e-124,0,0
2.23618,10000,5.86883e-125,0,0
2.28643,10000,1.65083e-130,0,0
2.33668,10000,3.45827e-131,0,0
2.38693,10000,1.0015e-136,0,0
2.43719,10000,2.03493e-137,0,0
2.48744,10000,6.07539e-143,0,0
2.53769,10000,1.19556e-143,0,0
2.58794,10000,3.68528e-149,0,0
2.63819,10000,7.0125e-150,0,0
2.68844,10000,2.23531e-155,0,0
2.73869,10000,4.10569e-156,0,0
2.78894,10000,1.35574e-161,0,0
2.8392,10000,2.39906e-162,0,0
2.88945,10000,8.22217e-168,0,0
2.9397,10000,1.3988e-168,0,0
2.98995,10000,4.98616e-174,0,0
3.0402,10000,8.13646e-175,0,0
3.09045,10000,3.02354e-180,0,0
3.1407,10000,4.72033e-181,0,0
3.19095,10000,1.83331e-186,0,0
3.24121,10000,2.73047e-187,0,0
3.29146,10000,1.11153e-192,0,0
3.34171,10000,1.57428e-193,0,0
3.39196,10000,6.73872e-199,0,0
3.44221,10000,9.04337e-200,0,0
3.49246,10000,4.08508e-205,0,0
3.54271,10000,5.17328e-206,0,0
3.59296,10000,2.47622e-211,0,0
3.64322,10000,2.94531e-212,0,0
3.69347,10000,1.50088e-217,0,0
3.74372,10000,1.66766e-218,0,0
3.79397,10000,9.09635e-224,0,0
3.84422,10000,9.38198e-225,0,0
3.89447,10000,5.51257e-230,0,0
3.94472,10000,5.23824e-231,0,0
3.99497,10000,1.93952e-28,0,0
4.04523,10000,4.10659e-28,0,0
4.09548,10000,5.41481e-22,0,0
4.14573,10000,1.1398e-21,0,0
4.19598,10000,1.51154e-15,0,0
4.24623,10000,3.16349e-15,0,0
4.29648,10000,2.31273e-16,0,0
