Time (s),Temperature_tr
0.0,30000.0
1e-08,29907.4
2e-08,29785.6
3e-08,29665.9
4e-08,29548.4
5e-08,29433.1
6e-08,29320.0
7e-08,29208.9
8e-08,29100.0
9e-08,28993.2
1e-07,28888.4
1.1e-07,28785.7
1.2e-07,28685.0
1.3e-07,28586.3
1.4e-07,28489.6
1.5e-07,28394.8
1.6e-07,28302.0
1.7e-07,28211.0
1.8e-07,28121.9
1.9e-07,28034.6
2e-07,27949.2
2.1e-07,27865.5
2.2e-07,27783.6
2.3e-07,27703.5
2.4e-07,27625.0
2.5e-07,27548.2
2.6e-07,27473.1
2.7e-07,27399.6
2.8e-07,27327.7
2.9e-07,27257.4
3e-07,27188.6
3.1e-07,27121.4
3.2e-07,27055.6
3.3e-07,26991.3
3.4e-07,26928.4
3.5e-07,26867.0
3.6e-07,26806.9
3.7e-07,26748.2
3.8e-07,26690.8
3.9e-07,26634.7
4e-07,26580.0
4.1e-07,26526.4
4.2e-07,26474.1
4.3e-07,26423.0
4.4e-07,26373.1
4.5e-07,26324.4
4.6e-07,26276.8
4.7e-07,26230.3
4.8e-07,26184.9
4.9e-07,26140.5
5e-07,26097.2
5.1e-07,26054.9
5.2e-07,26013.7
5.3e-07,25973.4
5.4e-07,25934.0
5.5e-07,25895.6
5.6e-07,25858.1
5.7e-07,25821.5
5.8e-07,25785.8
5.9e-07,25751.0
6e-07,25716.9
6.1e-07,25683.7
6.2e-07,25651.3
6.3e-07,25619.7
6.4e-07,25588.9
6.5e-07,25558.8
6.6e-07,25529.4
6.7e-07,25500.7
6.8e-07,25472.8
6.9e-07,25445.5
7e-07,25418.9
7.1e-07,25392.9
7.2e-07,25367.6
7.3e-07,25342.9
7.4e-07,25318.8
7.5e-07,25295.2
7.6e-07,25272.3
7.7e-07,25249.9
7.8e-07,25228.1
7.9e-07,25206.8
8e-07,25186.1
8.1e-07,25165.8
8.2e-07,25146.1
8.3e-07,25126.8
8.4e-07,25108.0
8.5e-07,25089.7
8.6e-07,25071.9
8.7e-07,25054.5
8.8e-07,25037.5
8.9e-07,25020.9
9e-07,25004.8
9.1e-07,24989.0
9.2e-07,24973.6
9.3e-07,24958.7
9.4e-07,24944.1
9.5e-07,24929.8
9.6e-07,24915.9
9.7e-07,24902.4
9.8e-07,24889.2
9.9e-07,24876.3
1e-06,24863.8
1.01e-06,24851.6
1.02e-06,24839.6
1.03e-06,24828.0
1.04e-06,24816.7
1.05e-06,24805.6
1.06e-06,24794.8
1.07e-06,24784.3
1.08e-06,24774.1
1.09e-06,24764.1
1.1e-06,24754.4
1.11e-06,24744.9
1.12e-06,24735.6
1.13e-06,24726.6
1.14e-06,24717.8
1.15e-06,24709.2
1.16e-06,24700.9
1.17e-06,24692.7
1.18e-06,24684.8
1.19e-06,24677.1
1.2e-06,24669.5
1.21e-06,24662.2
1.22e-06,24655.0
1.23e-06,24648.0
1.24e-06,24641.2
1.25e-06,24634.5
1.26e-06,24628.1
1.27e-06,24621.7
1.28e-06,24615.6
1.29e-06,24609.6
1.3e-06,24603.8
1.31e-06,24598.1
1.32e-06,24592.5
1.33e-06,24587.1
1.34e-06,24581.8
1.35e-06,24576.7
1.36e-06,24571.6
1.37e-06,24566.8
1.38e-06,24562.0
1.39e-06,24557.4
1.4e-06,24552.8
1.41e-06,24548.4
1.42e-06,24544.1
1.43e-06,24539.9
1.44e-06,24535.8
1.45e-06,24531.9
1.46e-06,24528.0
1.47e-06,24524.2
1.48e-06,24520.5
1.49e-06,24516.9
1.5e-06,24513.4
1.51e-06,24510.0
1.52e-06,24506.7
1.53e-06,24503.4
1.54e-06,24500.3
1.55e-06,24497.2
1.56e-06,24494.2
1.57e-06,24491.2
1.58e-06,24488.4
1.59e-06,24485.6
1.6e-06,24482.9
1.61e-06,24480.3
1.62e-06,24477.7
1.63e-06,24475.2
1.64e-06,24472.7
1.65e-06,24470.3
1.66e-06,24468.0
1.67e-06,24465.7
1.68e-06,24463.5
1.69e-06,24461.4
1.7e-06,24459.3
1.71e-06,24457.2
1.72e-06,24455.3
1.73e-06,24453.3
1.74e-06,24451.4
1.75e-06,24449.6
1.76e-06,24447.8
1.77e-06,24446.0
1.78e-06,24444.3
1.79e-06,24442.7
1.8e-06,24441.0
1.81e-06,24439.4
1.82e-06,24437.9
1.83e-06,24436.4
1.84e-06,24434.9
1.85e-06,24433.5
1.86e-06,24432.1
1.87e-06,24430.8
1.88e-06,24429.4
1.89e-06,24428.2
1.9e-06,24426.9
1.91e-06,24425.7
1.92e-06,24424.5
1.93e-06,24423.3
1.94e-06,24422.2
1.95e-06,24421.1
1.96e-06,24420.0
1.97e-06,24419.0
1.98e-06,24418.0
1.99e-06,24417.0
2e-06,24416.0
2.01e-06,24415.0
2.02e-06,24414.1
2.03e-06,24413.2
2.04e-06,24412.3
2.05e-06,24411.5
2.06e-06,24410.7
2.07e-06,24409.9
2.08e-06,24409.1
2.09e-06,24408.3
2.1e-06,24407.5
2.11e-06,24406.8
2.12e-06,24406.1
2.13e-06,24405.4
2.14e-06,24404.7
2.15e-06,24404.1
2.16e-06,24403.4
2.17e-06,24402.8
2.18e-06,24402.2
2.19e-06,24401.6
2.2e-06,24401.0
2.21e-06,24400.4
2.22e-06,24399.9
2.23e-06,24399.4
2.24e-06,24398.8
2.25e-06,24398.3
2.26e-06,24397.8
2.27e-06,24397.3
2.28e-06,24396.9
2.29e-06,24396.4
2.3e-06,24396.0
2.31e-06,24395.5
2.32e-06,24395.1
2.33e-06,24394.7
2.34e-06,24394.3
2.35e-06,24393.9
2.36e-06,24393.5
2.37e-06,24393.1
2.38e-06,24392.8
2.39e-06,24392.4
2.4e-06,24392.1
2.41e-06,24391.7
2.42e-06,24391.4
2.43e-06,24391.1
2.44e-06,24390.8
2.45e-06,24390.5
2.46e-06,24390.2
2.47e-06,24389.9
2.48e-06,24389.6
2.49e-06,24389.3
2.5e-06,24389.0
2.51e-06,24388.8
2.52e-06,24388.5
2.53e-06,24388.3
2.54e-06,24388.0
2.55e-06,24387.8
2.56e-06,24387.6
2.57e-06,24387.3
2.58e-06,24387.1
2.59e-06,24386.9
2.6e-06,24386.7
2.61e-06,24386.5
2.62e-06,24386.3
2.63e-06,24386.1
2.64e-06,24385.9
2.65e-06,24385.7
2.66e-06,24385.6
2.67e-06,24385.4
2.68e-06,24385.2
2.69e-06,24385.1
2.7e-06,24384.9
2.71e-06,24384.7
2.72e-06,24384.6
2.73e-06,24384.4
2.74e-06,24384.3
2.75e-06,24384.2
2.76e-06,24384.0
2.77e-06,24383.9
2.78e-06,24383.8
2.79e-06,24383.6
2.8e-06,24383.5
2.81e-06,24383.4
2.82e-06,24383.3
2.83e-06,24383.2
2.84e-06,24383.0
2.85e-06,24382.9
2.86e-06,24382.8
2.87e-06,24382.7
2.88e-06,24382.6
2.89e-06,24382.5
2.9e-06,24382.4
2.91e-06,24382.3
2.92e-06,24382.2
2.93e-06,24382.2
2.94e-06,24382.1
2.95e-06,24382.0
2.96e-06,24381.9
2.97e-06,24381.8
2.98e-06,24381.7
2.99e-06,24381.7
3e-06,24381.6
3.01e-06,24381.5
3.02e-06,24381.5
3.03e-06,24381.4
3.04e-06,24381.3
3.05e-06,24381.3
3.06e-06,24381.2
3.07e-06,24381.1
3.08e-06,24381.1
3.09e-06,24381.0
3.1e-06,24381.0
3.11e-06,24380.9
3.12e-06,24380.8
3.13e-06,24380.8
3.14e-06,24380.7
3.15e-06,24380.7
3.16e-06,24380.6
3.17e-06,24380.6
3.18e-06,24380.5
3.19e-06,24380.5
3.2e-06,24380.5
3.21e-06,24380.4
3.22e-06,24380.4
3.23e-06,24380.3
3.24e-06,24380.3
3.25e-06,24380.2
3.26e-06,24380.2
3.27e-06,24380.2
3.28e-06,24380.1
3.29e-06,24380.1
3.3e-06,24380.1
3.31e-06,24380.0
3.32e-06,24380.0
3.33e-06,24380.0
3.34e-06,24379.9
3.35e-06,24379.9
3.36e-06,24379.9
3.37e-06,24379.9
3.38e-06,24379.8
3.39e-06,24379.8
3.4e-06,24379.8
3.41e-06,24379.7
3.42e-06,24379.7
3.43e-06,24379.7
3.44e-06,24379.7
3.45e-06,24379.6
3.46e-06,24379.6
3.47e-06,24379.6
3.48e-06,24379.6
3.49e-06,24379.6
3.5e-06,24379.5
3.51e-06,24379.5
3.52e-06,24379.5
3.53e-06,24379.5
3.54e-06,24379.5
3.55e-06,24379.4
3.56e-06,24379.4
3.57e-06,24379.4
3.58e-06,24379.4
3.59e-06,24379.4
3.6e-06,24379.4
3.61e-06,24379.3
3.62e-06,24379.3
3.63e-06,24379.3
3.64e-06,24379.3
3.65e-06,24379.3
3.66e-06,24379.3
3.67e-06,24379.3
3.68e-06,24379.2
3.69e-06,24379.2
3.7e-06,24379.2
3.71e-06,24379.2
3.72e-06,24379.2
3.73e-06,24379.2
3.74e-06,24379.2
3.75e-06,24379.2
3.76e-06,24379.2
3.77e-06,24379.1
3.78e-06,24379.1
3.79e-06,24379.1
3.8e-06,24379.1
3.81e-06,24379.1
3.82e-06,24379.1
3.83e-06,24379.1
3.84e-06,24379.1
3.85e-06,24379.1
3.86e-06,24379.1
3.87e-06,24379.1
3.88e-06,24379.1
3.89e-06,24379.0
3.9e-06,24379.0
3.91e-06,24379.0
3.92e-06,24379.0
3.93e-06,24379.0
3.94e-06,24379.0
3.95e-06,24379.0
3.96e-06,24379.0
3.97e-06,24379.0
3.98e-06,24379.0
3.99e-06,24379.0
4e-06,24379.0
4.01e-06,24379.0
4.02e-06,24379.0
4.03e-06,24379.0
4.04e-06,24379.0
4.05e-06,24378.9
4.06e-06,24378.9
4.07e-06,24378.9
4.08e-06,24378.9
4.09e-06,24378.9
4.1e-06,24378.9
4.11e-06,24378.9
4.12e-06,24378.9
4.13e-06,24378.9
4.14e-06,24378.9
4.15e-06,24378.9
4.16e-06,24378.9
4.17e-06,24378.9
4.18e-06,24378.9
4.19e-06,24378.9
4.2e-06,24378.9
4.21e-06,24378.9
4.22e-06,24378.9
4.23e-06,24378.9
4.24e-06,24378.9
4.25e-06,24378.9
4.26e-06,24378.9
4.27e-06,24378.9
4.28e-06,24378.9
4.29e-06,24378.9
4.3e-06,24378.9
4.31e-06,24378.9
4.32e-06,24378.9
4.33e-06,24378.8
4.34e-06,24378.8
4.35e-06,24378.8
4.36e-06,24378.8
4.37e-06,24378.8
4.38e-06,24378.8
4.39e-06,24378.8
4.4e-06,24378.8
4.41e-06,24378.8
4.42e-06,24378.8
4.43e-06,24378.8
4.44e-06,24378.8
4.45e-06,24378.8
4.46e-06,24378.8
4.47e-06,24378.8
4.48e-06,24378.8
4.49e-06,24378.8
4.5e-06,24378.8
4.51e-06,24378.8
4.52e-06,24378.8
4.53e-06,24378.8
4.54e-06,24378.8
4.55e-06,24378.8
4.56e-06,24378.8
4.57e-06,24378.8
4.58e-06,24378.8
4.59e-06,24378.8
4.6e-06,24378.8
4.61e-06,24378.8
4.62e-06,24378.8
4.63e-06,24378.8
4.64e-06,24378.8
4.65e-06,24378.8
4.66e-06,24378.8
4.67e-06,24378.8
4.68e-06,24378.8
4.69e-06,24378.8
4.7e-06,24378.8
4.71e-06,24378.8
4.72e-06,24378.8
4.73e-06,24378.8
4.74e-06,24378.8
4.75e-06,24378.8
4.76e-06,24378.8
4.77e-06,24378.8
4.78e-06,24378.8
4.79e-06,24378.8
4.8e-06,24378.8
4.81e-06,24378.8
4.82e-06,24378.8
4.83e-06,24378.8
4.84e-06,24378.8
4.85e-06,24378.8
4.86e-06,24378.8
4.87e-06,24378.8
4.88e-06,24378.8
4.89e-06,24378.8
4.9e-06,24378.8
4.91e-06,24378.8
4.92e-06,24378.8
4.93e-06,24378.8
4.94e-06,24378.8
4.95e-06,24378.8
4.96e-06,24378.8
4.97e-06,24378.8
4.98e-06,24378.8
4.99e-06,24378.8
5e-06,24378.8
5.01e-06,24378.8
5.02e-06,24378.8
5.03e-06,24378.8
5.04e-06,24378.8
5.05e-06,24378.8
5.06e-06,24378.8
5.07e-06,24378.8
5.08e-06,24378.8
5.09e-06,24378.8
5.1e-06,24378.8
5.11e-06,24378.8
5.12e-06,24378.8
5.13e-06,24378.8
5.14e-06,24378.8
5.15e-06,24378.8
5.16e-06,24378.8
5.17e-06,24378.8
5.18e-06,24378.8
5.19e-06,24378.8
5.2e-06,24378.8
5.21e-06,24378.8
5.22e-06,24378.8
5.23e-06,24378.8
5.24e-06,24378.8
5.25e-06,24378.8
5.26e-06,24378.8
5.27e-06,24378.8
5.28e-06,24378.8
5.29e-06,24378.8
5.3e-06,24378.8
5.31e-06,24378.8
5.32e-06,24378.8
5.33e-06,24378.8
5.34e-06,24378.8
5.35e-06,24378.8
5.36e-06,24378.8
5.37e-06,24378.8
5.38e-06,24378.8
5.39e-06,24378.8
5.4e-06,24378.8
5.41e-06,24378.8
5.42e-06,24378.8
5.43e-06,24378.8
5.44e-06,24378.8
5.45e-06,24378.8
5.46e-06,24378.8
5.47e-06,24378.8
5.48e-06,24378.8
5.49e-06,24378.8
5.5e-06,24378.8
5.51e-06,24378.8
5.52e-06,24378.8
5.53e-06,24378.8
5.54e-06,24378.8
5.55e-06,24378.8
5.56e-06,24378.8
5.57e-06,24378.8
5.58e-06,24378.8
5.59e-06,24378.8
5.6e-06,24378.8
5.61e-06,24378.8
5.62e-06,24378.8
5.63e-06,24378.8
5.64e-06,24378.8
5.65e-06,24378.8
5.66e-06,24378.8
5.67e-06,24378.8
5.68e-06,24378.8
5.69e-06,24378.8
5.7e-06,24378.8
5.71e-06,24378.8
5.72e-06,24378.8
5.73e-06,24378.8
5.74e-06,24378.8
5.75e-06,24378.8
5.76e-06,24378.8
5.77e-06,24378.8
5.78e-06,24378.8
5.79e-06,24378.8
5.8e-06,24378.8
5.81e-06,24378.8
5.82e-06,24378.8
5.83e-06,24378.8
5.84e-06,24378.8
5.85e-06,24378.8
5.86e-06,24378.8
5.87e-06,24378.8
5.88e-06,24378.8
5.89e-06,24378.8
5.9e-06,24378.8
5.91e-06,24378.8
5.92e-06,24378.8
5.93e-06,24378.8
5.94e-06,24378.8
5.95e-06,24378.8
5.96e-06,24378.8
5.97e-06,24378.8
5.98e-06,24378.8
5.99e-06,24378.8
6e-06,24378.8
6.01e-06,24378.8
6.02e-06,24378.8
6.03e-06,24378.8
6.04e-06,24378.8
6.05e-06,24378.8
6.06e-06,24378.8
6.07e-06,24378.8
6.08e-06,24378.8
6.09e-06,24378.8
6.1e-06,24378.8
6.11e-06,24378.8
6.12e-06,24378.8
6.13e-06,24378.8
6.14e-06,24378.8
6.15e-06,24378.8
6.16e-06,24378.8
6.17e-06,24378.8
6.18e-06,24378.8
6.19e-06,24378.8
6.2e-06,24378.8
6.21e-06,24378.8
6.22e-06,24378.8
6.23e-06,24378.8
6.24e-06,24378.8
6.25e-06,24378.8
6.26e-06,24378.8
6.27e-06,24378.8
6.28e-06,24378.8
6.29e-06,24378.8
6.3e-06,24378.8
6.31e-06,24378.8
6.32e-06,24378.8
6.33e-06,24378.8
6.34e-06,24378.8
6.35e-06,24378.8
6.36e-06,24378.8
6.37e-06,24378.8
6.38e-06,24378.8
6.39e-06,24378.8
6.4e-06,24378.8
6.41e-06,24378.8
6.42e-06,24378.8
6.43e-06,24378.8
6.44e-06,24378.8
6.45e-06,24378.8
6.46e-06,24378.8
6.47e-06,24378.8
6.48e-06,24378.8
6.49e-06,24378.8
6.5e-06,24378.8
6.51e-06,24378.8
6.52e-06,24378.8
6.53e-06,24378.8
6.54e-06,24378.8
6.55e-06,24378.8
6.56e-06,24378.8
6.57e-06,24378.8
6.58e-06,24378.8
6.59e-06,24378.8
6.6e-06,24378.8
6.61e-06,24378.8
6.62e-06,24378.8
6.63e-06,24378.8
6.64e-06,24378.8
6.65e-06,24378.8
6.66e-06,24378.8
6.67e-06,24378.8
6.68e-06,24378.8
6.69e-06,24378.8
6.7e-06,24378.8
6.71e-06,24378.8
6.72e-06,24378.8
6.73e-06,24378.8
6.74e-06,24378.8
6.75e-06,24378.8
6.76e-06,24378.8
6.77e-06,24378.8
6.78e-06,24378.8
6.79e-06,24378.8
6.8e-06,24378.8
6.81e-06,24378.8
6.82e-06,24378.8
6.83e-06,24378.8
6.84e-06,24378.8
6.85e-06,24378.8
6.86e-06,24378.8
6.87e-06,24378.8
6.88e-06,24378.8
6.89e-06,24378.8
6.9e-06,24378.8
6.91e-06,24378.8
6.92e-06,24378.8
6.93e-06,24378.8
6.94e-06,24378.8
6.95e-06,24378.8
6.96e-06,24378.8
6.97e-06,24378.8
6.98e-06,24378.8
6.99e-06,24378.8
7e-06,24378.8
7.01e-06,24378.8
7.02e-06,24378.8
7.03e-06,24378.8
7.04e-06,24378.8
7.05e-06,24378.8
7.06e-06,24378.8
7.07e-06,24378.8
7.08e-06,24378.8
7.09e-06,24378.8
7.1e-06,24378.8
7.11e-06,24378.8
7.12e-06,24378.8
7.13e-06,24378.8
7.14e-06,24378.8
7.15e-06,24378.8
7.16e-06,24378.8
7.17e-06,24378.8
7.18e-06,24378.8
7.19e-06,24378.8
7.2e-06,24378.8
7.21e-06,24378.8
7.22e-06,24378.8
7.23e-06,24378.8
7.24e-06,24378.8
7.25e-06,24378.8
7.26e-06,24378.8
7.27e-06,24378.8
7.28e-06,24378.8
7.29e-06,24378.8
7.3e-06,24378.8
7.31e-06,24378.8
7.32e-06,24378.8
7.33e-06,24378.8
7.34e-06,24378.8
7.35e-06,24378.8
7.36e-06,24378.8
7.37e-06,24378.8
7.38e-06,24378.8
7.39e-06,24378.8
7.4e-06,24378.8
7.41e-06,24378.8
7.42e-06,24378.8
7.43e-06,24378.8
7.44e-06,24378.8
7.45e-06,24378.8
7.46e-06,24378.8
7.47e-06,24378.8
7.48e-06,24378.8
7.49e-06,24378.8
7.5e-06,24378.8
7.51e-06,24378.8
7.52e-06,24378.8
7.53e-06,24378.8
7.54e-06,24378.8
7.55e-06,24378.8
7.56e-06,24378.8
7.57e-06,24378.8
7.58e-06,24378.8
7.59e-06,24378.8
7.6e-06,24378.8
7.61e-06,24378.8
7.62e-06,24378.8
7.63e-06,24378.8
7.64e-06,24378.8
7.65e-06,24378.8
7.66e-06,24378.8
7.67e-06,24378.8
7.68e-06,24378.8
7.69e-06,24378.8
7.7e-06,24378.8
7.71e-06,24378.8
7.72e-06,24378.8
7.73e-06,24378.8
7.74e-06,24378.8
7.75e-06,24378.8
7.76e-06,24378.8
7.77e-06,24378.8
7.78e-06,24378.8
7.79e-06,24378.8
7.8e-06,24378.8
7.81e-06,24378.8
7.82e-06,24378.8
7.83e-06,24378.8
7.84e-06,24378.8
7.85e-06,24378.8
7.86e-06,24378.8
7.87e-06,24378.8
7.88e-06,24378.8
7.89e-06,24378.8
7.9e-06,24378.8
7.91e-06,24378.8
7.92e-06,24378.8
7.93e-06,24378.8
7.94e-06,24378.8
7.95e-06,24378.8
7.96e-06,24378.8
7.97e-06,24378.8
7.98e-06,24378.8
7.99e-06,24378.8
8e-06,24378.8
8.01e-06,24378.8
8.02e-06,24378.8
8.03e-06,24378.8
8.04e-06,24378.8
8.05e-06,24378.8
8.06e-06,24378.8
8.07e-06,24378.8
8.08e-06,24378.8
8.09e-06,24378.8
8.1e-06,24378.8
8.11e-06,24378.8
8.12e-06,24378.8
8.13e-06,24378.8
8.14e-06,24378.8
8.15e-06,24378.8
8.16e-06,24378.8
8.17e-06,24378.8
8.18e-06,24378.8
8.19e-06,24378.8
8.2e-06,24378.8
8.21e-06,24378.8
8.22e-06,24378.8
8.23e-06,24378.8
8.24e-06,24378.8
8.25e-06,24378.8
8.26e-06,24378.8
8.27e-06,24378.8
8.28e-06,24378.8
8.29e-06,24378.8
8.3e-06,24378.8
8.31e-06,24378.8
8.32e-06,24378.8
8.33e-06,24378.8
8.34e-06,24378.8
8.35e-06,24378.8
8.36e-06,24378.8
8.37e-06,24378.8
8.38e-06,24378.8
8.39e-06,24378.8
8.4e-06,24378.8
8.41e-06,24378.8
8.42e-06,24378.8
8.43e-06,24378.8
8.44e-06,24378.8
8.45e-06,24378.8
8.46e-06,24378.8
8.47e-06,24378.8
8.48e-06,24378.8
8.49e-06,24378.8
8.5e-06,24378.8
8.51e-06,24378.8
8.52e-06,24378.8
8.53e-06,24378.8
8.54e-06,24378.8
8.55e-06,24378.8
8.56e-06,24378.8
8.57e-06,24378.8
8.58e-06,24378.8
8.59e-06,24378.8
8.6e-06,24378.8
8.61e-06,24378.8
8.62e-06,24378.8
8.63e-06,24378.8
8.64e-06,24378.8
8.65e-06,24378.8
8.66e-06,24378.8
8.67e-06,24378.8
8.68e-06,24378.8
8.69e-06,24378.8
8.7e-06,24378.8
8.71e-06,24378.8
8.72e-06,24378.8
8.73e-06,24378.8
8.74e-06,24378.8
8.75e-06,24378.8
8.76e-06,24378.8
8.77e-06,24378.8
8.78e-06,24378.8
8.79e-06,24378.8
8.8e-06,24378.8
8.81e-06,24378.8
8.82e-06,24378.8
8.83e-06,24378.8
8.84e-06,24378.8
8.85e-06,24378.8
8.86e-06,24378.8
8.87e-06,24378.8
8.88e-06,24378.8
8.89e-06,24378.8
8.9e-06,24378.8
8.91e-06,24378.8
8.92e-06,24378.8
8.93e-06,24378.8
8.94e-06,24378.8
8.95e-06,24378.8
8.96e-06,24378.8
8.97e-06,24378.8
8.98e-06,24378.8
8.99e-06,24378.8
9e-06,24378.8
9.01e-06,24378.8
9.02e-06,24378.8
9.03e-06,24378.8
9.04e-06,24378.8
9.05e-06,24378.8
9.06e-06,24378.8
9.07e-06,24378.8
9.08e-06,24378.8
9.09e-06,24378.8
9.1e-06,24378.8
9.11e-06,24378.8
9.12e-06,24378.8
9.13e-06,24378.8
9.14e-06,24378.8
9.15e-06,24378.8
9.16e-06,24378.8
9.17e-06,24378.8
9.18e-06,24378.8
9.19e-06,24378.8
9.2e-06,24378.8
9.21e-06,24378.8
9.22e-06,24378.8
9.23e-06,24378.8
9.24e-06,24378.8
9.25e-06,24378.8
9.26e-06,24378.8
9.27e-06,24378.8
9.28e-06,24378.8
9.29e-06,24378.8
9.3e-06,24378.8
9.31e-06,24378.8
9.32e-06,24378.8
9.33e-06,24378.8
9.34e-06,24378.8
9.35e-06,24378.8
9.36e-06,24378.8
