Time (s),$ T_{tr} $ (nexaFoam)_Temp,"$ T_{vib, N_2} $ (nexaFoam)_Temp"
0.0,30000.0,30000.0
1e-08,29903.6,1799.97
2e-08,29773.7,2391.75
3e-08,29641.8,2921.14
4e-08,29508.1,3414.94
5e-08,29372.6,3883.23
6e-08,29235.5,4331.11
7e-08,29097.0,4761.63
8e-08,28957.2,5176.85
9e-08,28816.5,5578.13
1e-07,28674.9,5966.64
1.1e-07,28532.7,6343.28
1.2e-07,28390.1,6708.78
1.3e-07,28247.3,7063.78
1.4e-07,28104.4,7408.81
1.5e-07,27961.6,7744.34
1.6e-07,27819.0,8070.8
1.7e-07,27676.8,8388.55
1.8e-07,27535.1,8697.93
1.9e-07,27394.0,8999.24
2e-07,27253.7,9292.77
2.1e-07,27114.2,9578.75
2.2e-07,26975.7,9857.43
2.3e-07,26838.2,10129.0
2.4e-07,26701.8,10393.7
2.5e-07,26566.6,10651.7
2.6e-07,26432.6,10903.1
2.7e-07,26299.9,11148.2
2.8e-07,26168.6,11387.0
2.9e-07,26038.7,11619.7
3e-07,25910.3,11846.5
3.1e-07,25783.3,12067.4
3.2e-07,25657.9,12282.6
3.3e-07,25533.9,12492.3
3.4e-07,25411.6,12696.4
3.5e-07,25290.8,12895.2
3.6e-07,25171.7,13088.8
3.7e-07,25054.1,13277.1
3.8e-07,24938.2,13460.4
3.9e-07,24823.9,13638.8
4e-07,24711.2,13812.2
4.1e-07,24600.2,13980.9
4.2e-07,24490.8,14144.9
4.3e-07,24383.0,14304.3
4.4e-07,24276.8,14459.1
4.5e-07,24172.3,14609.6
4.6e-07,24069.3,14755.7
4.7e-07,23968.0,14897.5
4.8e-07,23868.2,15035.2
4.9e-07,23770.0,15168.8
5e-07,23673.3,15298.3
5.1e-07,23578.2,15424.0
5.2e-07,23484.6,15545.8
5.3e-07,23392.5,15663.8
5.4e-07,23301.9,15778.1
5.5e-07,23212.8,15888.8
5.6e-07,23125.1,15996.0
5.7e-07,23038.8,16099.8
5.8e-07,22954.0,16200.1
5.9e-07,22870.5,16297.2
6e-07,22788.4,16391.0
6.1e-07,22707.6,16481.6
6.2e-07,22628.1,16569.2
6.3e-07,22550.0,16653.8
6.4e-07,22473.1,16735.4
6.5e-07,22397.5,16814.1
6.6e-07,22323.1,16890.0
6.7e-07,22249.9,16963.2
6.8e-07,22177.9,17033.8
6.9e-07,22107.1,17101.7
7e-07,22037.4,17167.1
7.1e-07,21968.9,17230.0
7.2e-07,21901.5,17290.5
7.3e-07,21835.1,17348.7
7.4e-07,21769.8,17404.5
7.5e-07,21705.6,17458.2
7.6e-07,21642.3,17509.7
7.7e-07,21580.1,17559.0
7.8e-07,21518.9,17606.3
7.9e-07,21458.6,17651.6
8e-07,21399.2,17695.0
8.1e-07,21340.8,17736.5
8.2e-07,21283.3,17776.1
8.3e-07,21226.7,17814.0
8.4e-07,21170.9,17850.1
8.5e-07,21116.0,17884.5
8.6e-07,21061.9,17917.3
8.7e-07,21008.7,17948.5
8.8e-07,20956.2,17978.1
8.9e-07,20904.5,18006.3
9e-07,20853.6,18033.0
9.1e-07,20803.5,18058.2
9.2e-07,20754.0,18082.1
9.3e-07,20705.3,18104.7
9.4e-07,20657.3,18125.9
9.5e-07,20610.0,18146.0
9.6e-07,20563.4,18164.8
9.7e-07,20517.4,18182.4
9.8e-07,20472.1,18198.8
9.9e-07,20427.4,18214.2
1e-06,20383.3,18228.5
1.01e-06,20339.9,18241.8
1.02e-06,20297.0,18254.0
1.03e-06,20254.7,18265.3
1.04e-06,20213.0,18275.6
1.05e-06,20171.9,18285.0
1.06e-06,20131.3,18293.5
1.07e-06,20091.3,18301.2
1.08e-06,20051.7,18308.0
