Time (s),$ T_{tr} $ (nexaFoam)_Temp,$ T_{vib} $ (nexaFoam)_Temp
0.0,3000.0,3000.0
1e-08,3000.39,9999.02
2e-08,3000.78,9998.03
3e-08,3001.17,9997.04
4e-08,3001.56,9996.06
5e-08,3001.95,9995.07
6e-08,3002.34,9994.08
7e-08,3002.73,9993.1
8e-08,3003.12,9992.11
9e-08,3003.52,9991.12
1e-07,3003.91,9990.13
1.1e-07,3004.3,9989.14
1.2e-07,3004.69,9988.15
1.3e-07,3005.09,9987.15
1.4e-07,3005.48,9986.16
1.5e-07,3005.87,9985.17
1.6e-07,3006.27,9984.18
1.7e-07,3006.66,9983.18
1.8e-07,3007.05,9982.19
1.9e-07,3007.45,9981.19
2e-07,3007.84,9980.2
2.1e-07,3008.24,9979.2
2.2e-07,3008.63,9978.2
2.3e-07,3009.03,9977.2
2.4e-07,3009.42,9976.21
2.5e-07,3009.82,9975.21
2.6e-07,3010.21,9974.21
2.7e-07,3010.61,9973.21
2.8e-07,3011.01,9972.21
2.9e-07,3011.4,9971.21
3e-07,3011.8,9970.2
3.1e-07,3012.2,9969.2
3.2e-07,3012.6,9968.2
3.3e-07,3012.99,9967.2
3.4e-07,3013.39,9966.19
3.5e-07,3013.79,9965.19
3.6e-07,3014.19,9964.18
3.7e-07,3014.59,9963.18
3.8e-07,3014.99,9962.17
3.9e-07,3015.38,9961.16
4e-07,3015.78,9960.15
4.1e-07,3016.18,9959.14
4.2e-07,3016.58,9958.14
4.3e-07,3016.98,9957.13
4.4e-07,3017.38,9956.12
4.5e-07,3017.78,9955.1
4.6e-07,3018.18,9954.09
4.7e-07,3018.59,9953.08
4.8e-07,3018.99,9952.07
4.9e-07,3019.39,9951.05
5e-07,3019.79,9950.04
5.1e-07,3020.19,9949.03
5.2e-07,3020.59,9948.01
5.3e-07,3021.0,9947.0
5.4e-07,3021.4,9945.98
5.5e-07,3021.8,9944.96
5.6e-07,3022.21,9943.94
5.7e-07,3022.61,9942.93
5.8e-07,3023.01,9941.91
5.9e-07,3023.42,9940.89
6e-07,3023.82,9939.87
6.1e-07,3024.23,9938.85
6.2e-07,3024.63,9937.83
6.3e-07,3025.03,9936.8
6.4e-07,3025.44,9935.78
6.5e-07,3025.85,9934.76
6.6e-07,3026.25,9933.73
6.7e-07,3026.66,9932.71
6.8e-07,3027.06,9931.68
6.9e-07,3027.47,9930.66
7e-07,3027.88,9929.63
7.1e-07,3028.28,9928.6
7.2e-07,3028.69,9927.58
7.3e-07,3029.1,9926.55
7.4e-07,3029.5,9925.52
7.5e-07,3029.91,9924.49
7.6e-07,3030.32,9923.46
7.7e-07,3030.73,9922.43
7.8e-07,3031.14,9921.4
7.9e-07,3031.55,9920.37
8e-07,3031.96,9919.33
8.1e-07,3032.36,9918.3
8.2e-07,3032.77,9917.27
8.3e-07,3033.18,9916.23
8.4e-07,3033.59,9915.2
8.5e-07,3034.0,9914.16
8.6e-07,3034.42,9913.12
8.7e-07,3034.83,9912.09
8.8e-07,3035.24,9911.05
8.9e-07,3035.65,9910.01
9e-07,3036.06,9908.97
9.1e-07,3036.47,9907.93
9.2e-07,3036.88,9906.89
9.3e-07,3037.3,9905.85
9.4e-07,3037.71,9904.81
9.5e-07,3038.12,9903.77
9.6e-07,3038.54,9902.73
9.7e-07,3038.95,9901.68
9.8e-07,3039.36,9900.64
9.9e-07,3039.78,9899.59
1e-06,3040.19,9898.55
1.01e-06,3040.6,9897.5
1.02e-06,3041.02,9896.45
1.03e-06,3041.43,9895.41
1.04e-06,3041.85,9894.36
1.05e-06,3042.26,9893.31
1.06e-06,3042.68,9892.26
1.07e-06,3043.1,9891.21
1.08e-06,3043.51,9890.16
1.09e-06,3043.93,9889.11
1.1e-06,3044.35,9888.06
1.11e-06,3044.76,9887.01
1.12e-06,3045.18,9885.95
1.13e-06,3045.6,9884.9
1.14e-06,3046.01,9883.84
1.15e-06,3046.43,9882.79
1.16e-06,3046.85,9881.73
1.17e-06,3047.27,9880.68
1.18e-06,3047.69,9879.62
1.19e-06,3048.11,9878.56
1.2e-06,3048.53,9877.5
1.21e-06,3048.95,9876.45
1.22e-06,3049.37,9875.39
1.23e-06,3049.79,9874.33
1.24e-06,3050.21,9873.26
1.25e-06,3050.63,9872.2
1.26e-06,3051.05,9871.14
1.27e-06,3051.47,9870.08
1.28e-06,3051.89,9869.01
1.29e-06,3052.31,9867.95
1.3e-06,3052.73,9866.89
1.31e-06,3053.15,9865.82
1.32e-06,3053.58,9864.75
1.33e-06,3054.0,9863.69
1.34e-06,3054.42,9862.62
1.35e-06,3054.85,9861.55
1.36e-06,3055.27,9860.48
1.37e-06,3055.69,9859.41
1.38e-06,3056.12,9858.34
1.39e-06,3056.54,9857.27
1.4e-06,3056.97,9856.2
1.41e-06,3057.39,9855.13
1.42e-06,3057.82,9854.06
1.43e-06,3058.24,9852.98
1.44e-06,3058.67,9851.91
1.45e-06,3059.09,9850.83
1.46e-06,3059.52,9849.76
1.47e-06,3059.94,9848.68
1.48e-06,3060.37,9847.6
1.49e-06,3060.8,9846.53
1.5e-06,3061.22,9845.45
1.51e-06,3061.65,9844.37
1.52e-06,3062.08,9843.29
1.53e-06,3062.51,9842.21
1.54e-06,3062.94,9841.13
1.55e-06,3063.36,9840.05
1.56e-06,3063.79,9838.96
1.57e-06,3064.22,9837.88
1.58e-06,3064.65,9836.8
1.59e-06,3065.08,9835.71
1.6e-06,3065.51,9834.63
1.61e-06,3065.94,9833.54
1.62e-06,3066.37,9832.46
1.63e-06,3066.8,9831.37
1.64e-06,3067.23,9830.28
1.65e-06,3067.66,9829.19
1.66e-06,3068.09,9828.11
1.67e-06,3068.53,9827.02
1.68e-06,3068.96,9825.93
1.69e-06,3069.39,9824.83
1.7e-06,3069.82,9823.74
1.71e-06,3070.26,9822.65
1.72e-06,3070.69,9821.56
1.73e-06,3071.12,9820.46
1.74e-06,3071.55,9819.37
1.75e-06,3071.99,9818.27
1.76e-06,3072.42,9817.18
1.77e-06,3072.86,9816.08
1.78e-06,3073.29,9814.98
1.79e-06,3073.73,9813.89
1.8e-06,3074.16,9812.79
1.81e-06,3074.6,9811.69
1.82e-06,3075.03,9810.59
1.83e-06,3075.47,9809.49
1.84e-06,3075.91,9808.39
1.85e-06,3076.34,9807.28
1.86e-06,3076.78,9806.18
1.87e-06,3077.22,9805.08
1.88e-06,3077.65,9803.97
1.89e-06,3078.09,9802.87
1.9e-06,3078.53,9801.76
1.91e-06,3078.97,9800.66
1.92e-06,3079.41,9799.55
1.93e-06,3079.84,9798.44
1.94e-06,3080.28,9797.33
1.95e-06,3080.72,9796.22
1.96e-06,3081.16,9795.11
1.97e-06,3081.6,9794.0
1.98e-06,3082.04,9792.89
1.99e-06,3082.48,9791.78
2e-06,3082.92,9790.67
2.01e-06,3083.36,9789.55
2.02e-06,3083.8,9788.44
2.03e-06,3084.25,9787.33
2.04e-06,3084.69,9786.21
2.05e-06,3085.13,9785.09
2.06e-06,3085.57,9783.98
2.07e-06,3086.02,9782.86
2.08e-06,3086.46,9781.74
2.09e-06,3086.9,9780.62
2.1e-06,3087.34,9779.5
2.11e-06,3087.79,9778.38
2.12e-06,3088.23,9777.26
2.13e-06,3088.68,9776.14
2.14e-06,3089.12,9775.02
2.15e-06,3089.57,9773.89
2.16e-06,3090.01,9772.77
2.17e-06,3090.46,9771.64
2.18e-06,3090.9,9770.52
2.19e-06,3091.35,9769.39
2.2e-06,3091.79,9768.27
2.21e-06,3092.24,9767.14
2.22e-06,3092.69,9766.01
2.23e-06,3093.14,9764.88
2.24e-06,3093.58,9763.75
2.25e-06,3094.03,9762.62
2.26e-06,3094.48,9761.49
2.27e-06,3094.93,9760.36
2.28e-06,3095.38,9759.23
2.29e-06,3095.82,9758.09
2.3e-06,3096.27,9756.96
2.31e-06,3096.72,9755.82
2.32e-06,3097.17,9754.69
2.33e-06,3097.62,9753.55
2.34e-06,3098.07,9752.42
2.35e-06,3098.52,9751.28
2.36e-06,3098.97,9750.14
2.37e-06,3099.43,9749.0
2.38e-06,3099.88,9747.86
2.39e-06,3100.33,9746.72
2.4e-06,3100.78,9745.58
2.41e-06,3101.23,9744.44
2.42e-06,3101.69,9743.29
2.43e-06,3102.14,9742.15
2.44e-06,3102.59,9741.01
2.45e-06,3103.04,9739.86
2.46e-06,3103.5,9738.72
2.47e-06,3103.95,9737.57
2.48e-06,3104.41,9736.42
2.49e-06,3104.86,9735.27
2.5e-06,3105.32,9734.13
2.51e-06,3105.77,9732.98
2.52e-06,3106.23,9731.83
2.53e-06,3106.68,9730.67
2.54e-06,3107.14,9729.52
2.55e-06,3107.59,9728.37
2.56e-06,3108.05,9727.22
2.57e-06,3108.51,9726.06
2.58e-06,3108.97,9724.91
2.59e-06,3109.42,9723.75
2.6e-06,3109.88,9722.6
2.61e-06,3110.34,9721.44
2.62e-06,3110.8,9720.28
2.63e-06,3111.26,9719.13
2.64e-06,3111.72,9717.97
2.65e-06,3112.17,9716.81
2.66e-06,3112.63,9715.65
2.67e-06,3113.09,9714.48
2.68e-06,3113.55,9713.32
2.69e-06,3114.01,9712.16
2.7e-06,3114.48,9711.0
2.71e-06,3114.94,9709.83
2.72e-06,3115.4,9708.67
2.73e-06,3115.86,9707.5
2.74e-06,3116.32,9706.33
2.75e-06,3116.78,9705.17
2.76e-06,3117.25,9704.0
2.77e-06,3117.71,9702.83
2.78e-06,3118.17,9701.66
2.79e-06,3118.64,9700.49
2.8e-06,3119.1,9699.32
2.81e-06,3119.56,9698.15
2.82e-06,3120.03,9696.98
2.83e-06,3120.49,9695.8
2.84e-06,3120.96,9694.63
2.85e-06,3121.42,9693.45
