Time (s),$ T_{tr} $ (nexaFoam)_Temp,$ T_{vib} $ (nexaFoam)_Temp
0.0,10000.0,10000.0
1e-09,9993.41,1041.75
2e-09,9986.43,1080.61
3e-09,9979.38,1117.66
4e-09,9972.33,1152.64
5e-09,9965.32,1186.16
6e-09,9958.35,1218.41
7e-09,9951.41,1249.54
8e-09,9944.52,1279.68
9e-09,9937.67,1308.92
1e-08,9930.86,1337.57
2e-08,9865.65,1590.03
3e-08,9803.31,1804.47
4e-08,9744.3,1994.94
5e-08,9688.33,2168.19
6e-08,9635.14,2327.93
7e-08,9584.53,2476.58
8e-08,9536.28,2615.88
9e-08,9490.21,2746.95
1e-07,9446.18,2870.82
1.1e-07,9404.52,2988.34
1.2e-07,9364.11,3100.05
1.3e-07,9325.35,3206.49
1.4e-07,9288.12,3308.11
1.5e-07,9252.34,3405.32
1.6e-07,9217.9,3498.43
1.7e-07,9184.73,3587.77
1.8e-07,9152.75,3673.58
1.9e-07,9121.91,3756.1
2e-07,9092.12,3835.56
2.1e-07,9063.34,3912.13
2.2e-07,9035.52,3986.0
2.3e-07,9008.59,4057.31
2.4e-07,8982.53,4126.23
2.5e-07,8957.27,4192.87
2.6e-07,8932.79,4257.36
2.7e-07,8909.05,4319.81
2.8e-07,8886.01,4380.34
2.9e-07,8863.64,4439.02
3e-07,8841.91,4495.96
3.1e-07,8820.79,4551.23
3.2e-07,8800.25,4604.91
3.3e-07,8780.28,4657.08
3.4e-07,8760.84,4707.8
3.5e-07,8741.91,4757.13
3.6e-07,8723.48,4805.14
3.7e-07,8705.52,4851.88
3.8e-07,8688.01,4897.41
3.9e-07,8670.94,4941.76
4e-07,8654.29,4985.0
4.1e-07,8638.05,5027.15
4.2e-07,8622.19,5068.27
4.3e-07,8606.72,5108.4
4.4e-07,8591.6,5147.56
4.5e-07,8576.83,5185.81
4.6e-07,8562.4,5223.16
4.7e-07,8548.29,5259.65
4.8e-07,8534.5,5295.31
4.9e-07,8521.01,5330.16
5e-07,8507.82,5364.25
5.1e-07,8494.91,5397.58
5.2e-07,8482.27,5430.2
5.3e-07,8469.9,5462.11
5.4e-07,8457.79,5493.35
5.5e-07,8445.93,5523.93
5.6e-07,8434.31,5553.87
5.7e-07,8422.93,5583.21
5.8e-07,8411.78,5611.94
5.9e-07,8400.84,5640.1
6e-07,8390.12,5667.69
6.1e-07,8379.61,5694.74
6.2e-07,8369.3,5721.26
6.3e-07,8359.19,5747.27
6.4e-07,8349.27,5772.78
6.5e-07,8339.54,5797.8
6.6e-07,8329.99,5822.36
6.7e-07,8320.61,5846.45
6.8e-07,8311.41,5870.1
6.9e-07,8302.37,5893.31
7e-07,8293.5,5916.1
7.1e-07,8284.78,5938.48
7.2e-07,8276.22,5960.46
7.3e-07,8267.81,5982.04
7.4e-07,8259.54,6003.25
7.5e-07,8251.42,6024.09
7.6e-07,8243.44,6044.56
7.7e-07,8235.59,6064.68
7.8e-07,8227.88,6084.46
7.9e-07,8220.3,6103.91
8e-07,8212.84,6123.02
8.1e-07,8205.51,6141.82
8.2e-07,8198.3,6160.3
8.3e-07,8191.2,6178.48
8.4e-07,8184.22,6196.36
8.5e-07,8177.36,6213.95
8.6e-07,8170.6,6231.25
8.7e-07,8163.95,6248.28
8.8e-07,8157.41,6265.03
8.9e-07,8150.97,6281.52
9e-07,8144.63,6297.75
9.1e-07,8138.39,6313.73
9.2e-07,8132.24,6329.46
9.3e-07,8126.19,6344.94
9.4e-07,8120.23,6360.19
9.5e-07,8114.36,6375.2
9.6e-07,8108.58,6389.98
9.7e-07,8102.89,6404.55
9.8e-07,8097.28,6418.89
9.9e-07,8091.76,6433.02
1e-06,8086.32,6446.94
1.01e-06,8080.95,6460.65
1.02e-06,8075.67,6474.16
1.03e-06,8070.46,6487.47
1.04e-06,8065.33,6500.6
1.05e-06,8060.27,6513.53
1.06e-06,8055.28,6526.27
1.07e-06,8050.37,6538.83
1.08e-06,8045.52,6551.22
1.09e-06,8040.74,6563.42
1.1e-06,8036.03,6575.46
1.11e-06,8031.39,6587.33
1.12e-06,8026.81,6599.03
1.13e-06,8022.29,6610.56
1.14e-06,8017.83,6621.94
1.15e-06,8013.44,6633.16
1.16e-06,8009.11,6644.23
1.17e-06,8004.83,6655.15
1.18e-06,8000.62,6665.91
1.19e-06,7996.45,6676.54
1.2e-06,7992.35,6687.02
1.21e-06,7988.3,6697.35
1.22e-06,7984.3,6707.55
1.23e-06,7980.36,6717.62
1.24e-06,7976.47,6727.55
1.25e-06,7972.63,6737.35
1.26e-06,7968.84,6747.02
1.27e-06,7965.1,6756.57
1.28e-06,7961.41,6765.99
1.29e-06,7957.77,6775.28
1.3e-06,7954.17,6784.46
1.31e-06,7950.62,6793.52
1.32e-06,7947.11,6802.46
1.33e-06,7943.65,6811.29
1.34e-06,7940.24,6820.0
1.35e-06,7936.86,6828.61
1.36e-06,7933.53,6837.11
1.37e-06,7930.24,6845.49
1.38e-06,7927.0,6853.78
1.39e-06,7923.79,6861.96
1.4e-06,7920.62,6870.03
1.41e-06,7917.49,6878.01
1.42e-06,7914.41,6885.89
1.43e-06,7911.35,6893.67
1.44e-06,7908.34,6901.35
