Time (s),Temperature_tr
0.0,10000.0
1e-09,9993.41
2e-09,9986.43
3e-09,9979.38
4e-09,9972.33
5e-09,9965.32
6e-09,9958.35
7e-09,9951.41
8e-09,9944.52
9e-09,9937.67
1e-08,9930.86
2e-08,9865.65
3e-08,9803.31
4e-08,9744.3
5e-08,9688.33
6e-08,9635.14
7e-08,9584.53
8e-08,9536.28
9e-08,9490.21
1e-07,9446.18
1.1e-07,9404.52
1.2e-07,9364.11
1.3e-07,9325.35
1.4e-07,9288.12
1.5e-07,9252.34
1.6e-07,9217.9
1.7e-07,9184.73
1.8e-07,9152.75
1.9e-07,9121.91
2e-07,9092.12
2.1e-07,9063.34
2.2e-07,9035.52
2.3e-07,9008.59
2.4e-07,8982.53
2.5e-07,8957.27
2.6e-07,8932.79
2.7e-07,8909.05
2.8e-07,8886.01
2.9e-07,8863.64
3e-07,8841.91
3.1e-07,8820.79
3.2e-07,8800.25
3.3e-07,8780.28
3.4e-07,8760.84
3.5e-07,8741.91
3.6e-07,8723.48
3.7e-07,8705.52
3.8e-07,8688.01
3.9e-07,8670.94
4e-07,8654.29
4.1e-07,8638.05
4.2e-07,8622.19
4.3e-07,8606.72
4.4e-07,8591.6
4.5e-07,8576.83
4.6e-07,8562.4
4.7e-07,8548.29
4.8e-07,8534.5
4.9e-07,8521.01
5e-07,8507.82
5.1e-07,8494.91
5.2e-07,8482.27
5.3e-07,8469.9
5.4e-07,8457.79
5.5e-07,8445.93
5.6e-07,8434.31
5.7e-07,8422.93
5.8e-07,8411.78
5.9e-07,8400.84
6e-07,8390.12
6.1e-07,8379.61
6.2e-07,8369.3
6.3e-07,8359.19
6.4e-07,8349.27
6.5e-07,8339.54
6.6e-07,8329.99
6.7e-07,8320.61
6.8e-07,8311.41
6.9e-07,8302.37
7e-07,8293.5
7.1e-07,8284.78
7.2e-07,8276.22
7.3e-07,8267.81
7.4e-07,8259.54
7.5e-07,8251.42
7.6e-07,8243.44
7.7e-07,8235.59
7.8e-07,8227.88
7.9e-07,8220.3
8e-07,8212.84
8.1e-07,8205.51
8.2e-07,8198.3
8.3e-07,8191.2
8.4e-07,8184.22
8.5e-07,8177.36
8.6e-07,8170.6
8.7e-07,8163.95
8.8e-07,8157.41
8.9e-07,8150.97
9e-07,8144.63
9.1e-07,8138.39
9.2e-07,8132.24
9.3e-07,8126.19
9.4e-07,8120.23
9.5e-07,8114.36
9.6e-07,8108.58
9.7e-07,8102.89
9.8e-07,8097.28
9.9e-07,8091.76
1e-06,8086.32
1.01e-06,8080.95
1.02e-06,8075.67
1.03e-06,8070.46
1.04e-06,8065.33
1.05e-06,8060.27
1.06e-06,8055.28
1.07e-06,8050.37
1.08e-06,8045.52
1.09e-06,8040.74
1.1e-06,8036.03
1.11e-06,8031.39
1.12e-06,8026.81
1.13e-06,8022.29
1.14e-06,8017.83
1.15e-06,8013.44
1.16e-06,8009.11
1.17e-06,8004.83
1.18e-06,8000.62
1.19e-06,7996.45
1.2e-06,7992.35
1.21e-06,7988.3
1.22e-06,7984.3
1.23e-06,7980.36
1.24e-06,7976.47
1.25e-06,7972.63
1.26e-06,7968.84
1.27e-06,7965.1
1.28e-06,7961.41
1.29e-06,7957.77
1.3e-06,7954.17
1.31e-06,7950.62
1.32e-06,7947.11
1.33e-06,7943.65
1.34e-06,7940.24
1.35e-06,7936.86
1.36e-06,7933.53
1.37e-06,7930.24
1.38e-06,7927.0
1.39e-06,7923.79
1.4e-06,7920.62
1.41e-06,7917.49
1.42e-06,7914.41
1.43e-06,7911.35
1.44e-06,7908.34
1.45e-06,7905.36
1.46e-06,7902.42
1.47e-06,7899.52
1.48e-06,7896.65
1.49e-06,7893.81
1.5e-06,7891.01
1.51e-06,7888.24
1.52e-06,7885.51
