Time (s),$ T_{tr} $ (nexaFoam)_Temp,$ T_{vib} $ (nexaFoam)_Temp
0.0,30000.0,30000.0
1e-08,29907.4,1809.63
2e-08,29785.6,2413.68
3e-08,29665.9,2959.93
4e-08,29548.4,3475.19
5e-08,29433.1,3969.27
6e-08,29320.0,4446.9
7e-08,29208.9,4910.77
8e-08,29100.0,5362.36
9e-08,28993.2,5802.85
1e-07,28888.4,6232.97
1.1e-07,28785.7,6653.28
1.2e-07,28685.0,7064.21
1.3e-07,28586.3,7466.12
1.4e-07,28489.6,7859.28
1.5e-07,28394.8,8243.94
1.6e-07,28302.0,8620.32
1.7e-07,28211.0,8988.61
1.8e-07,28121.9,9348.99
1.9e-07,28034.6,9701.62
2e-07,27949.2,10046.7
2.1e-07,27865.5,10384.3
2.2e-07,27783.6,10714.6
2.3e-07,27703.5,11037.7
2.4e-07,27625.0,11353.8
2.5e-07,27548.2,11663.1
2.6e-07,27473.1,11965.5
2.7e-07,27399.6,12261.3
2.8e-07,27327.7,12550.6
2.9e-07,27257.4,12833.4
3e-07,27188.6,13110.0
3.1e-07,27121.4,13380.4
3.2e-07,27055.6,13644.8
3.3e-07,26991.3,13903.2
3.4e-07,26928.4,14155.8
3.5e-07,26867.0,14402.7
3.6e-07,26806.9,14644.0
3.7e-07,26748.2,14879.8
3.8e-07,26690.8,15110.2
3.9e-07,26634.7,15335.3
4e-07,26580.0,15555.3
4.1e-07,26526.4,15770.1
4.2e-07,26474.1,15980.0
4.3e-07,26423.0,16185.1
4.4e-07,26373.1,16385.4
4.5e-07,26324.4,16581.0
4.6e-07,26276.8,16772.0
4.7e-07,26230.3,16958.6
4.8e-07,26184.9,17140.7
4.9e-07,26140.5,17318.6
5e-07,26097.2,17492.3
5.1e-07,26054.9,17661.9
5.2e-07,26013.7,17827.4
5.3e-07,25973.4,17989.0
5.4e-07,25934.0,18146.8
5.5e-07,25895.6,18300.8
5.6e-07,25858.1,18451.1
5.7e-07,25821.5,18597.8
5.8e-07,25785.8,18741.0
5.9e-07,25751.0,18880.8
6e-07,25716.9,19017.2
6.1e-07,25683.7,19150.3
6.2e-07,25651.3,19280.2
6.3e-07,25619.7,19406.9
6.4e-07,25588.9,19530.6
6.5e-07,25558.8,19651.3
6.6e-07,25529.4,19769.0
6.7e-07,25500.7,19883.9
6.8e-07,25472.8,19996.0
6.9e-07,25445.5,20105.3
7e-07,25418.9,20212.0
7.1e-07,25392.9,20316.0
7.2e-07,25367.6,20417.5
7.3e-07,25342.9,20516.6
7.4e-07,25318.8,20613.2
7.5e-07,25295.2,20707.4
7.6e-07,25272.3,20799.3
7.7e-07,25249.9,20888.9
7.8e-07,25228.1,20976.4
7.9e-07,25206.8,21061.7
8e-07,25186.1,21144.8
8.1e-07,25165.8,21226.0
8.2e-07,25146.1,21305.1
8.3e-07,25126.8,21382.2
8.4e-07,25108.0,21457.5
8.5e-07,25089.7,21530.8
8.6e-07,25071.9,21602.4
8.7e-07,25054.5,21672.2
8.8e-07,25037.5,21740.2
8.9e-07,25020.9,21806.6
9e-07,25004.8,21871.3
9.1e-07,24989.0,21934.4
9.2e-07,24973.6,21995.9
9.3e-07,24958.7,22055.9
9.4e-07,24944.1,22114.4
9.5e-07,24929.8,22171.5
9.6e-07,24915.9,22227.1
9.7e-07,24902.4,22281.3
