Time (s),Temperature_tr
0.0,30000.0
1e-08,29903.6
2e-08,29773.7
3e-08,29641.8
4e-08,29508.1
5e-08,29372.6
6e-08,29235.5
7e-08,29097.0
8e-08,28957.2
9e-08,28816.5
1e-07,28674.9
1.1e-07,28532.7
1.2e-07,28390.1
1.3e-07,28247.3
1.4e-07,28104.4
1.5e-07,27961.6
1.6e-07,27819.0
1.7e-07,27676.8
1.8e-07,27535.1
1.9e-07,27394.0
2e-07,27253.7
2.1e-07,27114.2
2.2e-07,26975.7
2.3e-07,26838.2
2.4e-07,26701.8
2.5e-07,26566.6
2.6e-07,26432.6
2.7e-07,26299.9
2.8e-07,26168.6
2.9e-07,26038.7
3e-07,25910.3
3.1e-07,25783.3
3.2e-07,25657.9
3.3e-07,25533.9
3.4e-07,25411.6
3.5e-07,25290.8
3.6e-07,25171.7
3.7e-07,25054.1
3.8e-07,24938.2
3.9e-07,24823.9
4e-07,24711.2
4.1e-07,24600.2
4.2e-07,24490.8
4.3e-07,24383.0
4.4e-07,24276.8
4.5e-07,24172.3
4.6e-07,24069.3
4.7e-07,23968.0
4.8e-07,23868.2
4.9e-07,23770.0
5e-07,23673.3
5.1e-07,23578.2
5.2e-07,23484.6
5.3e-07,23392.5
5.4e-07,23301.9
5.5e-07,23212.8
5.6e-07,23125.1
5.7e-07,23038.8
5.8e-07,22954.0
5.9e-07,22870.5
6e-07,22788.4
6.1e-07,22707.6
6.2e-07,22628.1
6.3e-07,22550.0
6.4e-07,22473.1
6.5e-07,22397.5
6.6e-07,22323.1
6.7e-07,22249.9
6.8e-07,22177.9
6.9e-07,22107.1
7e-07,22037.4
7.1e-07,21968.9
7.2e-07,21901.5
7.3e-07,21835.1
7.4e-07,21769.8
7.5e-07,21705.6
7.6e-07,21642.3
7.7e-07,21580.1
7.8e-07,21518.9
7.9e-07,21458.6
8e-07,21399.2
8.1e-07,21340.8
8.2e-07,21283.3
8.3e-07,21226.7
8.4e-07,21170.9
8.5e-07,21116.0
8.6e-07,21061.9
8.7e-07,21008.7
8.8e-07,20956.2
8.9e-07,20904.5
9e-07,20853.6
9.1e-07,20803.5
9.2e-07,20754.0
9.3e-07,20705.3
9.4e-07,20657.3
9.5e-07,20610.0
9.6e-07,20563.4
9.7e-07,20517.4
9.8e-07,20472.1
9.9e-07,20427.4
1e-06,20383.3
1.01e-06,20339.9
1.02e-06,20297.0
1.03e-06,20254.7
1.04e-06,20213.0
1.05e-06,20171.9
1.06e-06,20131.3
1.07e-06,20091.3
1.08e-06,20051.7
1.09e-06,20012.7
1.1e-06,19974.2
1.11e-06,19936.2
1.12e-06,19898.7
1.13e-06,19861.6
1.14e-06,19825.0
1.15e-06,19788.9
1.16e-06,19753.2
1.17e-06,19718.0
1.18e-06,19683.2
1.19e-06,19648.8
1.2e-06,19614.8
1.21e-06,19581.3
1.22e-06,19548.1
1.23e-06,19515.3
1.24e-06,19482.9
1.25e-06,19450.9
1.26e-06,19419.2
1.27e-06,19387.9
1.28e-06,19357.0
1.29e-06,19326.4
1.3e-06,19296.2
1.31e-06,19266.2
1.32e-06,19236.7
1.33e-06,19207.4
1.34e-06,19178.4
1.35e-06,19149.8
1.36e-06,19121.5
1.37e-06,19093.4
1.38e-06,19065.7
1.39e-06,19038.3
1.4e-06,19011.1
1.41e-06,18984.2
1.42e-06,18957.6
1.43e-06,18931.2
1.44e-06,18905.2
1.45e-06,18879.3
1.46e-06,18853.8
1.47e-06,18828.4
1.48e-06,18803.4
1.49e-06,18778.5
1.5e-06,18754.0
1.51e-06,18729.6
1.52e-06,18705.5
1.53e-06,18681.6
1.54e-06,18657.9
