x,TTR,p,rho,U_0,U_1,U_2
-5,348.4,100000,1.00008,0,0,0
-4.89899,348.4,100000,1.00008,1.70248e-14,0,0
-4.79798,348.4,100000,1.00008,2.69703e-14,0,0
-4.69697,348.4,100000,1.00008,1.5947e-14,0,0
-4.59596,348.4,100000,1.00008,-2.8832e-14,0,0
-4.49495,348.4,100000,1.00008,-2.39817e-14,0,0
-4.39394,348.4,100000,1.00008,1.08763e-14,0,0
-4.29293,348.4,100000,1.00008,2.56291e-14,0,0
-4.19192,348.4,100000,1.00008,4.96047e-15,0,0
-4.09091,348.4,100000,1.00008,-1.54877e-14,0,0
-3.9899,348.4,100000,1.00008,4.88698e-15,0,0
-3.88889,348.4,100000,1.00008,1.34729e-16,0,0
-3.78788,348.4,100000,1.00008,7.45908e-15,0,0
-3.68687,348.4,100000,1.00008,7.15288e-15,0,0
-3.58586,348.4,100000,1.00008,0,0,0
-3.48485,348.4,100000,1.00008,9.48001e-15,0,0
-3.38384,348.4,100000,1.00008,1.71473e-15,0,0
-3.28283,348.4,100000,1.00008,-1.86967e-14,0,0
-3.18182,348.4,100000,1.00008,2.64558e-15,0,0
-3.08081,348.4,100000,1.00008,-5.21156e-15,0,0
-2.9798,348.4,100000,1.00008,1.35403e-14,0,0
-2.87879,348.4,100000,1.00008,-1.16663e-14,0,0
-2.77778,348.4,100000,1.00008,-1.00373e-14,0,0
-2.67677,348.4,100000,1.00008,1.3234e-14,0,0
-2.57576,348.4,100000,1.00008,-4.00512e-15,0,0
-2.47475,348.4,100000,1.00008,6.12404e-15,0,0
-2.37374,348.4,100000,1.00008,-1.83905e-14,0,0
-2.27273,348.4,100000,1.00008,3.96838e-15,0,0
-2.17172,348.4,100000,1.00008,1.42874e-14,0,0
-2.07071,348.4,100000,1.00008,3.01303e-15,0,0
-1.9697,348.4,100000,1.00008,-5.84233e-15,0,0
-1.86869,348.4,100000,1.00008,1.59837e-15,0,0
-1.76768,348.4,100000,1.00008,6.43024e-16,0,0
-1.66667,348.4,100000,1.00008,3.0314e-15,0,0
-1.56566,348.4,100000,1.00008,-1.57939e-14,0,0
-1.46465,348.4,100000,1.00008,1.0613e-14,0,0
-1.36364,348.4,100000,1.00008,2.14954e-15,0,0
-1.26263,348.4,100000,1.00008,0,0,0
-1.16162,348.4,100000,1.00008,3.21512e-15,0,0
-1.06061,348.4,100000,1.00008,-2.56291e-14,0,0
-0.959596,348.4,100000,1.00008,-2.03318e-14,0,0
-0.858586,348.4,100000,1.00008,2.76807e-15,0,0
-0.757576,348.4,100000,1.00008,3.67442e-16,0,0
-0.656566,348.4,100000,1.00008,5.32485e-14,0,0
-0.555556,348.4,100000,1.00008,3.88801e-09,0,0
-0.454545,348.4,100000,1.00008,0.000102082,0,0
-0.353535,348.364,99968.1,0.999867,0.0853704,0,0
-0.252525,346.521,98226.1,0.987667,4.77014,0,0
-0.151515,334.602,85364.3,0.888865,40.9915,0,0
-0.0505051,320.228,64943,0.706581,133.348,0,0
0.0505051,283.536,30158.5,0.370711,249.935,0,0
0.151515,333.7,24555.7,0.256361,257.76,0,0
0.252525,324.59,15234.6,0.163412,107.796,0,0
0.353535,282.419,10269.3,0.126695,6.31756,0,0
0.454545,278.71,10000.7,0.125024,0.0173811,0,0
0.555556,278.7,10000,0.125019,1.02625e-06,0,0
0.656566,278.7,10000,0.125019,9.42187e-12,0,0
0.757576,278.7,10000,0.125019,1.28044e-14,0,0
0.858586,278.7,10000,0.125019,-8.79961e-15,0,0
0.959596,278.7,10000,0.125019,-9.33237e-15,0,0
1.06061,278.7,10000,0.125019,1.55601e-14,0,0
1.16162,278.7,10000,0.125019,3.21489e-15,0,0
1.26263,278.7,10000,0.125019,0,0,0
1.36364,278.7,10000,0.125019,9.92023e-16,0,0
1.46465,278.7,10000,0.125019,3.36798e-15,0,0
1.56566,278.7,10000,0.125019,-1.44639e-14,0,0
1.66667,278.7,10000,0.125019,1.01039e-14,0,0
1.76768,278.7,10000,0.125019,0,0,0
1.86869,278.7,10000,0.125019,-9.06293e-16,0,0
1.9697,278.7,10000,0.125019,-6.04399e-15,0,0
2.07071,278.7,10000,0.125019,-8.65265e-15,0,0
2.17172,278.7,10000,0.125019,5.2663e-16,0,0
2.27273,278.7,10000,0.125019,4.07832e-15,0,0
2.37374,278.7,10000,0.125019,4.51922e-15,0,0
2.47475,278.7,10000,0.125019,-9.12416e-15,0,0
2.57576,278.7,10000,0.125019,4.68455e-15,0,0
2.67677,278.7,10000,0.125019,1.42925e-14,0,0
2.77778,278.7,10000,0.125019,-3.43534e-15,0,0
2.87879,278.7,10000,0.125019,-1.55417e-14,0,0
2.9798,278.7,10000,0.125019,2.40669e-31,0,0
3.08081,278.7,10000,0.125019,5.60309e-15,0,0
3.18182,278.7,10000,0.125019,1.35576e-14,0,0
3.28283,278.7,10000,0.125019,-4.7213e-15,0,0
3.38384,278.7,10000,0.125019,-1.44394e-14,0,0
3.48485,278.7,10000,0.125019,2.8146e-31,0,0
3.58586,278.7,10000,0.125019,6.52163e-15,0,0
3.68687,278.7,10000,0.125019,1.14817e-14,0,0
3.78788,278.7,10000,0.125019,-6.88905e-15,0,0
3.88889,278.7,10000,0.125019,-1.30004e-14,0,0
3.9899,278.7,10000,0.125019,1.43905e-15,0,0
4.09091,278.7,10000,0.125019,1.04162e-14,0,0
4.19192,278.7,10000,0.125019,5.51124e-16,0,0
4.29293,278.7,10000,0.125019,-7.96068e-15,0,0
4.39394,278.7,10000,0.125019,-2.42495e-15,0,0
4.49495,278.7,10000,0.125019,3.02506e-15,0,0
4.59596,278.7,10000,0.125019,6.91354e-15,0,0
4.69697,278.7,10000,0.125019,-2.05753e-15,0,0
4.79798,278.7,10000,0.125019,-5.5786e-15,0,0
4.89899,278.7,10000,0.125019,-2.42495e-15,0,0
5,278.7,10000,0.125019,0,0,0
