x,U_0,U_1,U_2
-5,0,0,0
-4.89899,22.5193,0,0
-4.79798,30.1923,0,0
-4.69697,23.4776,0,0
-4.59596,5.23584,0,0
-4.49495,-10.2229,0,0
-4.39394,-14.6878,0,0
-4.29293,-8.75256,0,0
-4.19192,-0.0974567,0,0
-4.09091,5.44107,0,0
-3.9899,4.79789,0,0
-3.88889,-0.136157,0,0
-3.78788,-1.97835,0,0
-3.68687,-2.4034,0,0
-3.58586,-4.13823,0,0
-3.48485,-5.01232,0,0
-3.38384,-3.25936,0,0
-3.28283,-0.836026,0,0
-3.18182,-0.435333,0,0
-3.08081,-16.0729,0,0
-2.9798,-34.8466,0,0
-2.87879,-36.7271,0,0
-2.77778,-31.7069,0,0
-2.67677,-83.6814,0,0
-2.57576,-174.118,0,0
-2.47475,-197.947,0,0
-2.37374,-193.873,0,0
-2.27273,-190.885,0,0
-2.17172,-190.973,0,0
-2.07071,-191.02,0,0
-1.9697,-190.154,0,0
-1.86869,-188.084,0,0
-1.76768,-183.245,0,0
-1.66667,-178.644,0,0
-1.56566,-176.306,0,0
-1.46465,-175.253,0,0
-1.36364,-174.233,0,0
-1.26263,-174.67,0,0
-1.16162,-176.218,0,0
-1.06061,-176.915,0,0
-0.959596,-176.177,0,0
-0.858586,-175.214,0,0
-0.757576,-173.497,0,0
-0.656566,-168.288,0,0
-0.555556,-155.272,0,0
-0.454545,-145.707,0,0
-0.353535,-142.001,0,0
-0.252525,-140.785,0,0
-0.151515,-140.026,0,0
-0.0505051,-139.435,0,0
0.0505051,-139.34,0,0
0.151515,-139.614,0,0
0.252525,-139.326,0,0
0.353535,-138.365,0,0
0.454545,-135.66,0,0
0.555556,-129.771,0,0
0.656566,-123.275,0,0
0.757576,-119.352,0,0
0.858586,-116.62,0,0
0.959596,-114.461,0,0
1.06061,-112.117,0,0
1.16162,-109.456,0,0
1.26263,-106.567,0,0
1.36364,-103.561,0,0
1.46465,-100.604,0,0
1.56566,-97.7112,0,0
1.66667,-94.7451,0,0
1.76768,-91.6511,0,0
1.86869,-88.4738,0,0
1.9697,-85.4536,0,0
2.07071,-82.7181,0,0
2.17172,-80.2554,0,0
2.27273,-77.9099,0,0
2.37374,-75.306,0,0
2.47475,-72.6137,0,0
2.57576,-69.3156,0,0
2.67677,-65.9189,0,0
2.77778,-62.6739,0,0
2.87879,-60.0206,0,0
2.9798,-57.3777,0,0
3.08081,-54.8371,0,0
3.18182,-52.3647,0,0
3.28283,-49.5301,0,0
3.38384,-46.974,0,0
3.48485,-43.698,0,0
3.58586,-40.6238,0,0
3.68687,-37.5817,0,0
3.78788,-34.6738,0,0
3.88889,-31.7149,0,0
3.9899,-28.5665,0,0
4.09091,-25.6968,0,0
4.19192,-22.7724,0,0
4.29293,-20.1733,0,0
4.39394,-17.4051,0,0
4.49495,-14.6538,0,0
4.59596,-11.6304,0,0
4.69697,-8.65592,0,0
4.79798,-5.70242,0,0
4.89899,-2.87118,0,0
5,0,0,0
