x,p
-5,86398.4
-4.89899,88665.1
-4.79798,93774.6
-4.69697,98958.4
-4.59596,102543
-4.49495,100092
-4.39394,96720.7
-4.29293,95472.7
-4.19192,95603
-4.09091,96144.8
-3.9899,95468.6
-3.88889,93551.4
-3.78788,92668.3
-3.68687,93848.2
-3.58586,97040.6
-3.48485,99511.9
-3.38384,97454.9
-3.28283,94049.9
-3.18182,92884.3
-3.08081,101121
-2.9798,110001
-2.87879,118669
-2.77778,110752
-2.67677,77547.6
-2.57576,47997.2
-2.47475,36826.5
-2.37374,36298.1
-2.27273,37083.9
-2.17172,37417.1
-2.07071,38093.9
-1.9697,38223
-1.86869,38649
-1.76768,38103.8
-1.66667,38096.8
-1.56566,38039.1
-1.46465,38569.7
-1.36364,38720.7
-1.26263,39505.2
-1.16162,40135.2
-1.06061,40951.5
-0.959596,41271.8
-0.858586,41753.8
-0.757576,41980.3
-0.656566,41673.3
-0.555556,39941.4
-0.454545,38887.3
-0.353535,38757.3
-0.252525,39083.5
-0.151515,39411.1
-0.0505051,39819.6
0.0505051,40287.7
0.151515,40851.5
0.252525,41316.7
0.353535,41692.1
0.454545,41805.3
0.555556,41271.7
0.656566,40695
0.757576,40523
0.858586,40597.1
0.959596,40719.4
1.06061,40837.1
1.16162,40882.4
1.26263,40895.4
1.36364,40887.2
1.46465,40895.8
1.56566,40905.1
1.66667,40914.6
1.76768,40881.3
1.86869,40863.4
1.9697,40836.9
2.07071,40889.6
2.17172,40952.4
2.27273,41050.6
2.37374,41128
2.47475,41119.1
2.57576,41108.8
2.67677,40938
2.77778,41003.4
2.87879,40870.7
2.9798,41094.2
3.08081,41013.5
3.18182,41225.5
3.28283,41214.2
3.38384,41293.2
3.48485,41402
3.58586,41248.7
3.68687,41295.9
3.78788,41129.2
3.88889,41224.5
3.9899,41124.7
4.09091,41228.9
4.19192,41231.1
4.29293,41273.2
4.39394,41303.8
4.49495,41282.6
4.59596,41315.5
4.69697,41259.6
4.79798,41291.3
4.89899,41208.5
5,41224.1
