x,p,U_0,U_1,U_2
-5,100000,0,0,0
-4.94975,100000,3.90357e-14,0,0
-4.8995,100000,4.57602e-15,0,0
-4.84925,100000,-2.93752e-14,0,0
-4.79899,100000,-2.99324e-14,0,0
-4.74874,100000,-3.07639e-14,0,0
-4.69849,100000,-4.22936e-14,0,0
-4.64824,100000,-5.29556e-14,0,0
-4.59799,100000,-3.96948e-14,0,0
-4.54774,100000,-2.75379e-14,0,0
-4.49749,100000,-3.88098e-14,0,0
-4.44724,100000,-5.13555e-14,0,0
-4.39698,100000,-8.5787e-14,0,0
-4.34673,100000,-1.18316e-13,0,0
-4.29648,100000,-1.2348e-13,0,0
-4.24623,100000,-1.33306e-13,0,0
-4.19598,100000,-2.0062e-13,0,0
-4.14573,100000,-2.63507e-13,0,0
-4.09548,100000,-2.78744e-13,0,0
-4.04523,100000,-2.9137e-13,0,0
-3.99497,100000,-2.79131e-13,0,0
-3.94472,100000,-2.6637e-13,0,0
-3.89447,100000,-2.49156e-13,0,0
-3.84422,100000,-2.32263e-13,0,0
-3.79397,100000,-2.17835e-13,0,0
-3.74372,100000,-2.02916e-13,0,0
-3.69347,100000,-1.84564e-13,0,0
-3.64322,100000,-1.65499e-13,0,0
-3.59296,100000,-1.41864e-13,0,0
-3.54271,100000,-1.14682e-13,0,0
-3.49246,100000,-6.65928e-14,0,0
-3.44221,100000,-2.4682e-14,0,0
-3.39196,100000,-1.64532e-14,0,0
-3.34171,100000,-1.2376e-14,0,0
-3.29146,100000,-2.93079e-14,0,0
-3.24121,100000,-4.91054e-14,0,0
-3.19095,100000,-8.24118e-14,0,0
-3.1407,100000,-1.14191e-13,0,0
-3.09045,100000,-1.3924e-13,0,0
-3.0402,100000,-1.52391e-13,0,0
-2.98995,100000,-1.16423e-13,0,0
-2.9397,100000,-8.39973e-14,0,0
-2.88945,100000,-6.5305e-14,0,0
-2.8392,100000,-4.51779e-14,0,0
-2.78894,100000,-1.98126e-14,0,0
-2.73869,100000,5.52307e-15,0,0
-2.68844,100000,3.07565e-14,0,0
-2.63819,100000,5.99511e-14,0,0
-2.58794,100000,1.0204e-13,0,0
-2.53769,100000,1.39085e-13,0,0
-2.48744,100000,1.60582e-13,0,0
-2.43719,100000,1.76626e-13,0,0
-2.38693,100000,1.76734e-13,0,0
-2.33668,100000,1.68902e-13,0,0
-2.28643,100000,1.39043e-13,0,0
-2.23618,100000,1.21456e-13,0,0
-2.18593,100000,1.3622e-13,0,0
-2.13568,100000,1.5552e-13,0,0
-2.08543,100000,1.86197e-13,0,0
-2.03518,100000,3.85992e-11,0,0
-1.98492,100000,1.68739e-10,0,0
-1.93467,100000,9.44661e-07,0,0
-1.88442,100000,4.04106e-06,0,0
-1.83417,99999.6,0.0013429,0,0
-1.78392,99998.2,0.00558649,0,0
-1.73367,99961.9,0.120545,0,0
-1.68342,99852.9,0.46545,0,0
-1.63317,99412.2,1.87212,0,0
-1.58291,98312.8,5.38648,0,0
-1.53266,96663.6,10.7774,0,0
-1.48241,93970.6,19.731,0,0
-1.43216,91158.4,29.3172,0,0
-1.38191,88129.6,40.0531,0,0
-1.33166,85229.2,50.5754,0,0
-1.28141,82552.2,60.7262,0,0
-1.23116,79988.9,70.6581,0,0
-1.1809,77615.1,80.2249,0,0
-1.13065,75317.3,89.7083,0,0
-1.0804,73141.2,99.0585,0,0
-1.03015,71007.6,108.359,0,0
-0.979899,68939.3,117.583,0,0
-0.929648,66952.9,126.901,0,0
-0.879397,65087.1,136.357,0,0
-0.829146,63170,145.659,0,0
-0.778894,61180.8,154.746,0,0
-0.728643,59391.3,164.049,0,0
-0.678392,57871.8,173.645,0,0
-0.628141,56231.6,183.265,0,0
-0.577889,54434.4,192.916,0,0
-0.527638,52738.7,202.214,0,0
